Exp_ID,labels,EH_ID,dpi,comment,weight,weightloss,weightRelativeToInfection,fecweight
Exp_003,NA,LM0123,-7,anthelminthic,25.9,NA,NA,
Exp_003,NA,LM0124,-7,anthelminthic,14.8,NA,NA,
Exp_003,NA,LM0125,-7,anthelminthic,21.4,NA,NA,
Exp_003,NA,LM0126,-7,anthelminthic,25.3,NA,NA,
Exp_003,NA,LM0127,-7,anthelminthic,19.1,NA,NA,
Exp_003,NA,LM0128,-7,anthelminthic,24.5,NA,NA,
Exp_003,NA,LM0129,-7,anthelminthic,14.2,NA,NA,
Exp_003,NA,LM0130,-7,anthelminthic,16.4,NA,NA,
Exp_003,NA,LM0131,-7,anthelminthic,25,NA,NA,
Exp_003,NA,LM0132,-7,anthelminthic,15.1,NA,NA,
Exp_003,NA,LM0133,-7,anthelminthic,14.8,NA,NA,
Exp_003,NA,LM0134,-7,anthelminthic,28,NA,NA,
Exp_003,NA,LM0135,-7,anthelminthic,17.7,NA,NA,
Exp_003,NA,LM0136,-7,anthelminthic,28.7,NA,NA,
Exp_003,NA,LM0137,-7,anthelminthic,23,NA,NA,
Exp_003,NA,LM0138,-7,anthelminthic,16.8,NA,NA,
Exp_003,NA,LM0139,-7,anthelminthic,15.5,NA,NA,
Exp_003,NA,LM0140,-7,anthelminthic,16.8,NA,NA,
Exp_003,NA,LM0141,-7,anthelminthic,23.8,NA,NA,
Exp_003,NA,LM0142,-7,anthelminthic,19.6,NA,NA,
Exp_003,NA,LM0143,-7,anthelminthic,16.3,NA,NA,
Exp_003,NA,LM0144,-7,anthelminthic,24,NA,NA,
Exp_003,NA,LM0123,-1,on grid,27.3,NA,NA,
Exp_003,NA,LM0124,-1,on grid,13.9,NA,NA,
Exp_003,NA,LM0125,-1,on grid,20.3,NA,NA,
Exp_003,NA,LM0126,-1,on grid,23.8,NA,NA,
Exp_003,NA,LM0127,-1,on grid,18.6,NA,NA,
Exp_003,NA,LM0128,-1,on grid,24.6,NA,NA,
Exp_003,NA,LM0129,-1,on grid,14.6,NA,NA,
Exp_003,NA,LM0130,-1,on grid,16.2,NA,NA,
Exp_003,NA,LM0131,-1,on grid,24.5,NA,NA,
Exp_003,NA,LM0132,-1,on grid,13.6,NA,NA,
Exp_003,NA,LM0133,-1,on grid,14.7,NA,NA,
Exp_003,NA,LM0134,-1,on grid,27.3,NA,NA,
Exp_003,NA,LM0135,-1,on grid,16.8,NA,NA,
Exp_003,NA,LM0136,-1,on grid,28.6,NA,NA,
Exp_003,NA,LM0137,-1,on grid,17.6,NA,NA,
Exp_003,NA,LM0138,-1,on grid,15.6,NA,NA,
Exp_003,NA,LM0139,-1,on grid,15.6,NA,NA,
Exp_003,NA,LM0140,-1,on grid,14.4,NA,NA,
Exp_003,NA,LM0141,-1,on grid,23.9,NA,NA,
Exp_003,NA,LM0142,-1,on grid,18.3,NA,NA,
Exp_003,NA,LM0143,-1,on grid,15.7,NA,NA,
Exp_003,NA,LM0144,-1,on grid,22,NA,NA,
Exp_003,GY,LM0123,0,,27.4,,,3.41
Exp_003,GK,LM0124,0,,14.1,,,1.13
Exp_003,LU,LM0125,0,,19.3,,,2.71
Exp_003,AS,LM0126,0,,24.7,,,3.25
Exp_003,TV,LM0127,0,,18.8,,,1.57
Exp_003,LO,LM0128,0,,23.6,,,1.15
Exp_003,HY,LM0129,0,,13.5,,,1.06
Exp_003,RW,LM0130,0,,15.2,,,0.26
Exp_003,EI,LM0131,0,,25.6,,,2.91
Exp_003,SX,LM0132,0,,13.8,,,1.32
Exp_003,VX,LM0133,0,,14.7,,,1.04
Exp_003,OT,LM0134,0,,28,,,1.7
Exp_003,UZ,LM0135,0,,16.7,,,0.99
Exp_003,IU,LM0136,0,,29.2,,,3.22
Exp_003,SZ,LM0137,0,,22.1,,,2.75
Exp_003,EL,LM0138,0,,15.6,,,1.85
Exp_003,HW,LM0139,0,,14.1,,,1.38
Exp_003,NW,LM0140,0,,13.5,,,0.6
Exp_003,JW,LM0141,0,,24.8,,,2.71
Exp_003,IX,LM0142,0,,16.2,,,1.93
Exp_003,JK,LM0143,0,,14.8,,,1.11
Exp_003,AM,LM0144,0,,21.3,,,2.19
Exp_003,CH,LM0123,1,,27.1,,,1.97
Exp_003,IL,LM0124,1,,12.9,,,0.77
Exp_003,BW,LM0125,1,,18.8,,,2.14
Exp_003,DK,LM0126,1,,24.7,,,1.65
Exp_003,FP,LM0127,1,,18.1,,,1.35
Exp_003,JP,LM0128,1,,21.7,,,1.03
Exp_003,DJ,LM0129,1,,13.7,,,1.38
Exp_003,QT,LM0130,1,,15.3,,,1.22
Exp_003,RZ,LM0131,1,,25,,,2.95
Exp_003,BC,LM0132,1,,13.5,,,0.76
Exp_003,DH,LM0133,1,,14.4,,,1.55
Exp_003,KR,LM0134,1,,27.4,,,1.23
Exp_003,EZ,LM0135,1,,17.2,,,1.36
Exp_003,UX,LM0136,1,,29.2,,,1.53
Exp_003,BD,LM0137,1,,22.1,,,2.53
Exp_003,HT,LM0138,1,,15.6,,,1.64
Exp_003,LT,LM0139,1,,13.9,,,0.85
Exp_003,GQ,LM0140,1,,14.1,,,1.19
Exp_003,FJ,LM0141,1,,25.2,,,1.95
Exp_003,JR,LM0142,1,,18,,,1.81
Exp_003,IO,LM0143,1,,14.6,,,1.16
Exp_003,KZ,LM0144,1,,21.4,,,1.91
Exp_003,PV,LM0123,2,,26.8,,,1.82
Exp_003,ST,LM0124,2,,12.8,,,0.88
Exp_003,JV,LM0125,2,,19.5,,,1.16
Exp_003,ER,LM0126,2,,24.6,,,1.47
Exp_003,CE,LM0127,2,,18,,,1.16
Exp_003,SW,LM0128,2,,21.9,,,1.03
Exp_003,BF,LM0129,2,,13.7,,,1.41
Exp_003,QZ,LM0130,2,,15.5,,,1.09
Exp_003,HK,LM0131,2,,25.8,,,2.24
Exp_003,OU,LM0132,2,,13.7,,,1.13
Exp_003,AY,LM0133,2,,14.6,,,1.35
Exp_003,TZ,LM0134,2,,27.3,,,1.41
Exp_003,NT,LM0135,2,,16.6,,,1.29
Exp_003,DZ,LM0136,2,,28.4,,,2
Exp_003,TW,LM0137,2,,23.6,,,1.71
Exp_003,LX,LM0138,2,,15.5,,,1.09
Exp_003,TU,LM0139,2,,13.9,,,0.97
Exp_003,BJ,LM0140,2,,13.9,,,1.01
Exp_003,AK,LM0141,2,,25.4,,,1.96
Exp_003,AR,LM0142,2,,17.2,,,1.39
Exp_003,TY,LM0143,2,,14.3,,,1.65
Exp_003,PY,LM0144,2,,21.2,,,1.27
Exp_003,QR,LM0123,3,,26.5,,,1.75
Exp_003,BO,LM0124,3,,13,,,1.01
Exp_003,GL,LM0125,3,,19.6,,,2.46
Exp_003,BI,LM0126,3,,24,,,2.94
Exp_003,HI,LM0127,3,,18.6,,,1.23
Exp_003,QY,LM0128,3,,22.5,,,1.7
Exp_003,WZ,LM0129,3,,13.6,,,1.64
Exp_003,FZ,LM0130,3,,14.9,,,1.86
Exp_003,DS,LM0131,3,,26.4,,,3.34
Exp_003,LR,LM0132,3,,13.2,,,1.91
Exp_003,HO,LM0133,3,,14.4,,,1.57
Exp_003,AF,LM0134,3,,27.4,,,1.58
Exp_003,LS,LM0135,3,,16.9,,,1.54
Exp_003,BM,LM0136,3,,28.8,,,2.73
Exp_003,VW,LM0137,3,,23.5,,,2.8
Exp_003,DQ,LM0138,3,,15.6,,,1.59
Exp_003,DX,LM0139,3,,14,,,1.91
Exp_003,GM,LM0140,3,,13.7,,,1.27
Exp_003,MX,LM0141,3,,25.9,,,1.61
Exp_003,GT,LM0142,3,,17.8,,,1.93
Exp_003,CL,LM0143,3,,14.1,,,1.62
Exp_003,KO,LM0144,3,,21.6,,,2.35
Exp_003,QX,LM0123,4,,27.1,,,2.5
Exp_003,JT,LM0124,4,,12.8,,,1.29
Exp_003,FW,LM0125,4,,19.1,,,1.86
Exp_003,PR,LM0126,4,,24.1,,,2.86
Exp_003,FY,LM0127,4,,17.5,,,1.5
Exp_003,BS,LM0128,4,,21.7,,,1.64
Exp_003,MN,LM0129,4,,12.7,,,0.45
Exp_003,KX,LM0130,4,,14.2,,,1.18
Exp_003,LY,LM0131,4,,27.4,,,2.45
Exp_003,GX,LM0132,4,,13,,,1.65
Exp_003,JX,LM0133,4,,14,,,1.82
Exp_003,HQ,LM0134,4,,27.1,,,1.86
Exp_003,KW,LM0135,4,,15.6,,,1.73
Exp_003,IT,LM0136,4,,29.2,,,3
Exp_003,EP,LM0137,4,,24.1,,,2.65
Exp_003,DI,LM0138,4,,14.9,,,1.8
Exp_003,MS,LM0139,4,,14,,,1.03
Exp_003,HR,LM0140,4,,13.5,,,1.21
Exp_003,QW,LM0141,4,,26.2,,,2.44
Exp_003,LZ,LM0142,4,,17.6,,,2.15
Exp_003,RY,LM0143,4,,14.1,,,1.67
Exp_003,ET,LM0144,4,,21.6,,,2.29
Exp_003,TX,LM0123,5,,26.5,,,2.34
Exp_003,HL,LM0124,5,,12.8,,,1.11
Exp_003,FI,LM0125,5,,18.1,,,1.43
Exp_003,NR,LM0126,5,,23.2,,,1.33
Exp_003,UV,LM0127,5,,16.7,,,1.15
Exp_003,CK,LM0128,5,,21.5,,,1.72
Exp_003,OW,LM0129,5,,11.9,,,0.79
Exp_003,GO,LM0130,5,,13.6,,,0.87
Exp_003,GS,LM0131,5,,25.2,,,2.24
Exp_003,LM,LM0132,5,,12.6,,,0.63
Exp_003,DF,LM0133,5,,13.5,,,1.02
Exp_003,BN,LM0134,5,,26.7,,,1.96
Exp_003,NU,LM0135,5,,15.4,,,1.28
Exp_003,OV,LM0136,5,,28.9,,,2.42
Exp_003,VZ,LM0137,5,,23.4,,,1.78
Exp_003,NO,LM0138,5,,14.1,,,0.61
Exp_003,EW,LM0139,5,,12.9,,,0.77
Exp_003,WY,LM0140,5,,13.3,,,0.9
Exp_003,BY,LM0141,5,,25.9,,,2.08
Exp_003,AQ,LM0142,5,,17.6,,,2.26
Exp_003,EV,LM0143,5,,13.5,,,1.08
Exp_003,LW,LM0144,5,,20.5,,,2.07
Exp_003,CU,LM0123,6,,26.8,,,1.19
Exp_003,IK,LM0124,6,,13.1,,,1.2
Exp_003,SY,LM0125,6,,18.8,,,1.23
Exp_003,GU,LM0126,6,,23.5,,,1.19
Exp_003,CM,LM0127,6,,17.1,,,0.18
Exp_003,XZ,LM0128,6,,21.5,,,1.14
Exp_003,AD,LM0129,6,,11.7,,,0.48
Exp_003,EQ,LM0130,6,,14.3,,,0.82
Exp_003,QU,LM0131,6,,26.6,,,1.17
Exp_003,NZ,LM0132,6,,12,,,0.37
Exp_003,AU,LM0133,6,,14.2,,,1.05
Exp_003,MU,LM0134,6,,26.3,,,0.98
Exp_003,FL,LM0135,6,,15.9,,,1.66
Exp_003,FS,LM0136,6,,29.9,,,1.81
Exp_003,NQ,LM0137,6,,24.2,,,1.44
Exp_003,UW,LM0138,6,,16.1,,,1.32
Exp_003,KY,LM0139,6,,13.5,,,0.69
Exp_003,DW,LM0140,6,,13.7,,,1.15
Exp_003,CP,LM0141,6,,26.5,,,2.14
