labels,EH_ID,dpi,weight,weightloss,relative_weight,feces_weight,,weight_dpi0
EPT,LM0146,0,19.8,,100,845,,19.8
EHR,LM0147,0,15.6,,100,1198,,15.6
IMX,LM0148,0,17.6,,100,1027,,17.6
AHT,LM0149,0,20.7,,100,0.82,,20.7
PVX,LM0150,0,19.3,,100,1.12,,19.3
IKQ,LM0151,0,29.5,,100,1.92,,29.5
FNQ,LM0152,0,18.1,,100,0.79,,18.1
OQV,LM0153,0,12.7,,100,0.48,,12.7
CRY,LM0154,0,15,,100,0.55,,15
PVY,LM0155,0,NA,,NA,NA,,NA
CRX,LM0156,0,17.6,,100,1.01,,17.6
LOR,LM0157,0,25.9,,100,0.61,,25.9
CTU,LM0158,0,30.1,,100,0.59,,30.1
GKT,LM0159,0,15.8,,100,0.86,,15.8
RSY,LM0160,0,12.4,,100,0.69,,12.4
DEO,LM0161,0,36.6,,100,1.22,,36.6
FPR,LM0162,0,17.3,,100,0.64,,17.3
KWY,LM0163,0,17.3,,100,1.03,,17.3
HMS,LM0164,0,23.8,,100,0.85,,23.8
GOU,LM0165,0,20.3,,100,0.53,,20.3
GRV,LM0166,0,30.2,,100,1,,30.2
AFO,LM0167,0,13.5,,100,0.57,,13.5
BKN,LM0168,0,27,,100,1.21,,27
GIQ,LM0169,0,14.7,,100,0.72,,14.7
BGN,LM0170,0,22.4,,100,0.4,,22.4
CHV,LM0171,0,14,,100,0.37,,14
EFQ,LM0172,0,19,,100,1.1,,19
HLN,LM0173,0,15.3,,100,1.58,,15.3
CHR,LM0174,0,16.9,,100,0.7,,16.9
PST,LM0175,0,26.5,,100,1.17,,26.5
CIL,LM0176,0,22.5,,100,0.46,,22.5
ANR,LM0177,0,14.8,,100,1.18,,14.8
CHI,LM0178,0,18.1,,100,0.9,,18.1
IOW,LM0146,1,19.6,,98.989898989899,1.07,,19.8
DPX,LM0147,1,16.1,,103.205128205128,1.1,,15.6
DFR,LM0148,1,17.3,,98.2954545454546,1.65,,17.6
AOQ,LM0149,1,20.8,,100.48309178744,1.39,,20.7
GHY,LM0150,1,19.5,,101.036269430052,1.33,,19.3
JUZ,LM0151,1,29.8,,101.016949152542,1.23,,29.5
FHR,LM0152,1,18,,99.4475138121547,1.02,,18.1
EFO,LM0153,1,12.3,,96.8503937007874,0.42,,12.7
HUW,LM0154,1,15.1,,100.666666666667,0.56,,15
GSW,LM0155,1,NA,,NA,,,NA
