"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"1","E57aACD","E5",0,0,0,0,0,1
"2","E57aBLX","E5",0,0,0,0,0,1
"3","E57aAWY","E5",0,0,0,0,0,1
"4","E57aCLT","E5",0,0,0,0,0,1
"5","E57aCEK","E5",0,0,0,0,0,1
"6","E57aCUX","E5",0,0,0,0,0,1
"7","E57aCEG","E5",0,0,0,0,0,1
"8","E57aFPV","E5",0,0,0,0,0,1
"9","E57aFJS","E5",0,0,0,0,0,1
"10","E57aCIW","E5",0,0,0,0,0,1
"11","E57aIJW","E5",0,0,0,0,0,1
"12","E57aHOX","E5",0,0,0,0,0,1
"13","E57aHJX","E5",0,0,0,0,0,1
"14","E57aGUX","E5",0,0,0,0,0,1
"15","E57aGUW","E5",0,0,0,0,0,1
"16","E57aLNU","E5",0,0,0,0,0,1
"17","E57aOPY","E5",0,0,0,0,0,1
"18","E57aCPW","E5",0,0,0,0,0,1
"19","E57aLXZ","E5",0,0,0,0,0,1
"20","E57aCNS","E5",0,0,0,0,0,1
"21","E57aBHN","E5",0,0,0,0,0,1
"22","E57aAFT","E5",0,0,0,0,0,1
"23","E57aBUX","E5",0,0,0,0,0,1
"24","E57aGPW","E5",0,0,0,0,0,1
"25","E57aCMO","E5",0,0,0,0,0,1
"26","E57aCIO","E5",0,0,0,0,0,1
"27","E57aKOX","E5",0,0,0,0,0,1
"28","E57aCPY","E5",0,0,0,0,0,1
"29","E57aGQU","E5",0,0,0,0,0,1
"30","E57aHPQ","E5",0,0,0,0,0,1
"31","E57aBOU","E5",0,0,0,0,0,1
"32","E57aBKT","E5",0,0,0,0,0,1
"33","E57aHJQ","E5",0,0,0,0,0,1
"34","E57aFHV","E5",0,0,0,0,0,1
"35","E57aDES","E5",0,0,0,0,0,1
"36","E57aELT","E5",0,0,0,0,0,1
"37","E57aNSU","E5",0,0,0,0,0,1
"38","E57aFKY","E5",0,0,0,0,0,1
"39","E57aJLZ","E5",0,0,0,0,0,1
"40","E57aCHN","E5",0,0,0,0,0,1
"41","E57aAGO","E5",0,0,0,0,0,1
"42","E57aFQS","E5",0,0,0,0,0,1
"43","E57aCRW","E5",0,0,0,0,0,1
"44","E57aRXY","E5",0,0,0,0,0,1
"45","E57aKVZ","E5",0,0,0,0,0,1
"46","E57aFGT","E5",0,0,0,0,0,1
"47","E57aKNO","E5",0,0,0,0,0,1
"48","E57aFGW","E5",18,18,20,18,18.5,1
"49","E57aFRW","E5",0,3,4,8,3.75,1
"50","E57aIJQ","E5",0,0,0,0,0,1
"51","E57aERW","E5",0,0,0,0,0,1
"52","E57aAFW","E5",0,0,0,0,0,2
"53","E57aBGK","E5",0,0,0,0,0,1
"54","E57aAJW","E5",0,0,0,0,0,1
"55","E57aDMN","E5",0,0,0,0,0,1
"56","E57aMOY","E5",55,48,68,58,57.25,1
"57","E57aANT","E5",0,0,0,0,0,1
"58","E57aBJN","E5",0,0,0,0,0,1
"59","E57aEUW","E5",5,4,11,10,7.5,1
"60","E57aTXZ","E5",22,28,35,38,30.75,1
"61","E57aCSX","E5",6,6,7,3,5.5,1
"62","E57aIVW","E5",9,8,7,9,8.25,1
"63","E57aSUZ","E5",0,0,0,0,0,1
"64","E57aILY","E5",0,0,0,0,0,1
"65","E57aJMQ","E5",0,0,0,0,0,1
"66","E57aCFJ","E5",0,0,0,0,0,1
"67","E57aAHJ","E5",2,1,3,0,1.5,1
"68","E57aACP","E5",6,3,4,5,4.5,1
"69","E57aJOT","E5",5,2,5,15,6.75,1
"70","E57aFGZ","E5",0,0,2,0,0.5,1
"71","E57aCQW","E5",0,0,0,0,0,1
"72","E57aBCK","E5",0,0,0,0,0,1
"73","E57aLQW","E5",0,0,0,0,0,1
"74","E57aLMX","E5",0,0,0,0,0,1
"75","E57aACN","E5",0,0,0,0,0,1
"76","E57aAKT","E5",0,0,0,0,0,1.5
"77","E57aFIM","E5",0,0,0,0,0,2
"78","E57aCEN","E5",24,29,32,28,28.25,2
"79","E57aBMV","E5",17,18,24,20,19.75,2
"80","E57aEGM","E5",14,13,12,18,14.25,1.5
