"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"1","ACD","E5",0,0,0,0,0,"1"
"2","BLX","E5",0,0,0,0,0,"1"
"3","AWY","E5",0,0,0,0,0,"1"
"4","CLT","E5",0,0,0,0,0,"1"
"5","CEK","E5",0,0,0,0,0,"1"
"6","CUX","E5",0,0,0,0,0,"1"
"7","CEG","E5",0,0,0,0,0,"1"
"8","FPV","E5",0,0,0,0,0,"1"
"9","FJS","E5",0,0,0,0,0,"1"
"10","CIW","E5",0,0,0,0,0,"1"
"11","IJW","E5",0,0,0,0,0,"1"
"12","HOX","E5",0,0,0,0,0,"1"
"13","HJX","E5",0,0,0,0,0,"1"
"14","GUX","E5",0,0,0,0,0,"1"
"15","GUW","E5",0,0,0,0,0,"1"
"16","LNU","E5",0,0,0,0,0,"1"
"17","OPY","E5",0,0,0,0,0,"1"
"18","CPW","E5",0,0,0,0,0,"1"
"19","LXZ","E5",0,0,0,0,0,"1"
"20","CNS","E5",0,0,0,0,0,"1"
"21","BHN","E5",0,0,0,0,0,"1"
"22","AFT","E5",0,0,0,0,0,"1"
"23","BUX","E5",0,0,0,0,0,"1"
"24","GPW","E5",0,0,0,0,0,"1"
"25","CMO","E5",0,0,0,0,0,"1"
"26","CIO","E5",0,0,0,0,0,"1"
"27","KOX","E5",0,0,0,0,0,"1"
"28","CPY","E5",0,0,0,0,0,"1"
"29","GQU","E5",0,0,0,0,0,"1"
"30","HPQ","E5",0,0,0,0,0,"1"
"31","BOU","E5",0,0,0,0,0,"1"
"32","BKT","E5",0,0,0,0,0,"1"
"33","HJQ","E5",0,0,0,0,0,"1"
"34","FHV","E5",0,0,0,0,0,"1"
"35","DES","E5",0,0,0,0,0,"1"
"36","ELT","E5",0,0,0,0,0,"1"
"37","NSU","E5",0,0,0,0,0,"1"
"38","FKY","E5",0,0,0,0,0,"1"
"39","JLZ","E5",0,0,0,0,0,"1"
"40","CHN","E5",0,0,0,0,0,"1"
"41","AGO","E5",0,0,0,0,0,"1"
"42","FQS","E5",0,0,0,0,0,"1"
"43","CRW","E5",0,0,0,0,0,"1"
"44","RXY","E5",0,0,0,0,0,"1"
"45","KVZ","E5",0,0,0,0,0,"1"
"46","FGT","E5",0,0,0,0,0,"1"
"47","KNO","E5",0,0,0,0,0,"1"
"48","FGW","E5",18,18,20,18,18.5,"1"
"49","FRW","E5",0,3,4,8,3.75,"1"
"50","IJQ","E5",0,0,0,0,0,"1"
"51","ERW","E5",0,0,0,0,0,"1"
"52","AFW","E5",0,0,0,0,0,"2"
"53","BGK","E5",0,0,0,0,0,"1"
"54","AJW","E5",0,0,0,0,0,"1"
"55","DMN","E5",0,0,0,0,0,"1"
"56","MOY","E5",55,48,68,58,57.25,"1"
"57","ANT","E5",0,0,0,0,0,"1"
"58","BJN","E5",0,0,0,0,0,"1"
"59","EUW","E5",5,4,11,10,7.5,"1"
"60","TXZ","E5",22,28,35,38,30.75,"1"
"61","CSX","E5",6,6,7,3,5.5,"1"
"62","IVW","E5",9,8,7,9,8.25,"1"
"63","SUZ","E5",0,0,0,0,0,"1"
"64","ILY","E5",0,0,0,0,0,"1"
"65","JMQ","E5",0,0,0,0,0,"1"
"66","CFJ","E5",0,0,0,0,0,"1"
"67","AHJ","E5",2,1,3,0,1.5,"1"
"68","ACP","E5",6,3,4,5,4.5,"1"
"69","JOT","E5",5,2,5,15,6.75,"1"
"70","FGZ","E5",0,0,2,0,0.5,"1"
"71","CQW","E5",0,0,0,0,0,"1"
"72","BCK","E5",0,0,0,0,0,"1"
"73","LQW","E5",0,0,0,0,0,"1"
"74","LMX","E5",0,0,0,0,0,"1"
"75","ACN","E5",0,0,0,0,0,"1"
"76","AKT","E5",0,0,0,0,0,"1,5"
"77","FIM","E5",0,0,0,0,0,"2"
"78","CEN","E5",24,29,32,28,28.25,"2"
"79","BMV","E5",17,18,24,20,19.75,"2"
"80","EGM","E5",14,13,12,18,14.25,"1,5"
"81","AEY","E5",39,49,54,31,43.25,"1"
"82","CNO","E5",0,0,0,0,0,"1"
"83","CTU","E5",18,13,23,14,17,"1,5"
"84","FGS","E5",0,0,1,0,0.25,"1"
"85","AQZ","E5",0,0,0,0,0,"1"
"86","MPQ","E5",0,0,0,0,0,"1"
"87","CTY","E5",0,0,2,1,0.75,"1"
"88","APV","E5",25,19,24,28,24,"1"
"89","BNZ","E5",NA,NA,NA,NA,NA,"1"
"90","AFM","E5",182,142,181,173,169.5,"1"
"91","BDO","E5",33,29,36,41,34.75,"1"
"92","BDE","E5",0,0,0,0,0,"1"
"93","CPX","E5",0,0,0,0,0,"1"
"94","HVY","E5",12,8,9,15,11,"2"
"95","BRY","E5",0,0,0,0,0,"2"
"96","IOR","E5",0,0,0,0,0,"1,5"
"97","NTZ","E5",0,0,0,0,0,"1"
"98","DMX","E5",0,0,0,0,0,"1"
"99","CPQ","E5",0,0,0,0,0,"1"
"100","NPZ","E5",0,0,0,0,0,"1"
"101","CJR","E5",0,0,0,0,0,"1"
"102","HLS","E5",6,8,10,5,7.25,"1"
"103","BCF","E5",0,0,0,0,0,"1"
"104","BDR","E5",5,11,7,11,8.5,"1"
"105","BGH","E5",35,30,38,35,34.5,"1"
"106","BDK","E5",0,0,0,0,0,"1"
"107","MOR","E5",0,0,0,0,0,"1"
"108","BET","E5",0,0,0,0,0,"1"
"109","BHU","E5",10,18,11,15,13.5,"1"
"110","FPX","E5",0,0,0,0,0,"1"
"111","BGW","E5",48,36,52,41,44.25,"1"
"112","FMN","E5",0,0,0,0,0,"1"
"113","EMW","E5",0,0,0,0,0,"1"
"114","QXZ","E5",31,31,39,37,34.5,"1"
"115","ADX","E5",21,27,26,22,24,"2"
"116","MQS","E5",NA,NA,NA,NA,NA,"1"
"117","DTY","E5",NA,NA,NA,NA,NA,"1"
"118","MQR","E5",NA,NA,NA,NA,NA,"1"
"119","ESV","E5",NA,NA,NA,NA,NA,"1"
