"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi"
"1","LM0179","ACD","E5",18.93,18.93,"100",0,0
"2","LM0180","BLX","E5",24.1,24.1,"100",0.76,0
"3","LM0181","AWY","E5",17.5,17.5,"100",0.51,0
"4","LM0182","CLT","E5",16.94,16.94,"100",1.9,0
"5","LM0183","CEK","E5",17.08,17.08,"100",0,0
"6","LM0184","CUX","E5",22.8,22.8,"100",0.85,0
"7","LM0185","CEG","E5",20.1,20.1,"100",0.23,0
"8","LM0186","FPV","E5",18.1,18.1,"100",0.87,0
"9","LM0187","FJS","E5",16.71,16.71,"100",0.74,0
"10","LM0188","CIW","E5",20.6,20.6,"100",2.31,0
"11","LM0189","IJW","E5",17.03,17.03,"100",1.71,0
"12","LM0190","HOX","E5",15.55,15.55,"100",0,0
"13","LM0191","HJX","E5",21.97,21.97,"100",0,0
"14","LM0192","GUX","E5",21.06,21.06,"100",1.51,0
"15","LM0193","GUW","E5",16.4,16.4,"100",1.07,0
"16","LM0194","LNU","E5",20.37,20.37,"100",0,0
"17","LM0195","OPY","E5",16.88,16.88,"100",0.96,0
"18","LM0196","CPW","E5",22.5,22.5,"100",1.08,0
"19","LM0197","LXZ","E5",21.35,21.35,"100",1.25,0
"20","LM0198","CNS","E5",17.65,17.65,"100",0.88,0
"21","LM0199","BHN","E5",26.85,26.85,"100",0.75,0
"22","LM0200","AFT","E5",22.32,22.32,"100",1.01,0
"23","LM0201","BUX","E5",21.75,21.75,"100",0.65,0
"24","LM0202","GPW","E5",17.68,17.68,"100",0,0
"25","LM0203","CMO","E5",20.26,20.26,"100",0.09,0
"26","LM0204","CIO","E5",19.26,19.26,"100",0.93,0
"27","LM0206","KOX","E5",16.97,16.97,"100",0,0
"28","LM0207","CPY","E5",17.27,17.27,"100",0.23,0
"29","LM0208","GQU","E5",22.82,22.82,"100",0.21,0
"30","LM0209","HPQ","E5",22.09,22.09,"100",0.93,0
"31","LM0210","BOU","E5",15.65,15.65,"100",0.34,0
"32","LM0211","BKT","E5",17.42,17.42,"100",1.28,0
"33","LM0212","HJQ","E5",21.58,21.58,"100",0.87,0
"34","LM0213","FHV","E5",15.39,15.39,"100",0,0
"35","LM0214","DES","E5",27.43,27.43,"100",0,0
"36","LM0215","ELT","E5",23.9,23.9,"100",1.18,0
"37","LM0216","NSU","E5",18.37,18.37,"100",0,0
"38","LM0217","FKY","E5",17.74,17.74,"100",1.09,0
"39","LM0218","JLZ","E5",20.36,20.36,"100",2.51,0
"40","LM0219","CHN","E5",19,19,"100",1.24,0
"41","LM0220","AGO","E5",19.72,19.72,"100",1.32,0
"42","LM0221","FQS","E5",19.73,19.73,"100",1.14,0
"43","LM0222","CRW","E5",23.99,23.99,"100",1.61,0
"44","LM0223","RXY","E5",20.73,20.73,"100",1.43,0
"45","LM0224","KVZ","E5",19.21,19.21,"100",0,0
"46","LM0225","FGT","E5",28.05,28.05,"100",1.52,0
"47","LM0226","KNO","E5",15.16,15.16,"100",0.96,0
"48","LM0227","FGW","E5",20.03,20.03,"100",0,0
"49","LM0228","FRW","E5",18.56,18.56,"100",1.3,0
"50","LM0229","IJQ","E5",15.82,15.82,"100",0,0
"51","LM0230","ERW","E5",15.87,15.87,"100",1.03,0
"52","LM0231","AFW","E5",18.71,18.71,"100",0.12,0
"53","LM0232","BGK","E5",24.14,24.14,"100",0,0
"54","LM0233","AJW","E5",24.55,24.55,"100",0.82,0
"55","LM0234","DMN","E5",28.55,28.55,"100",0.76,0
"56","LM0235","MOY","E5",17.03,17.03,"100",0.8,0
"57","LM0236","ANT","E5",23.64,23.64,"100",0.93,0
"58","LM0237","BJN","E5",11.02,11.02,"100",0,0
"59","LM0238","EUW","E5",15.31,15.31,"100",0.95,0
"60","LM0239","TXZ","E5",16.84,16.84,"100",1.33,0
"61","LM0240","CSX","E5",16.19,16.19,"100",1.14,0
"62","LM0241","IVW","E5",14.51,14.51,"100",0,0
"63","LM0242","SUZ","E5",15.65,15.65,"100",0.71,0
"64","LM0243","ILY","E5",18.58,18.58,"100",1.44,0
"65","LM0244","JMQ","E5",12.33,12.33,"100",1.51,0
"66","LM0245","CFJ","E5",16.71,16.71,"100",0,0
"67","LM0246","AHJ","E5",17.95,17.95,"100",1.33,0
"68","LM0247","ACP","E5",25.21,25.21,"100",0,0
"69","LM0248","JOT","E5",17.99,17.99,"100",1.37,0
"70","LM0249","FGZ","E5",22.27,22.27,"100",0.59,0
"71","LM0250","CQW","E5",20.59,20.59,"100",0.85,0
"72","LM0251","BCK","E5",19.67,19.67,"100",1.8,0
"73","LM0252","LQW","E5",15.01,15.01,"100",1.19,0
"74","LM0253","LMX","E5",11.08,11.08,"100",0.62,0
"75","LM0254","ACN","E5",20.16,20.16,"100",0.94,0
"76","LM0255","AKT","E5",14.65,14.65,"100",0,0
"77","LM0256","FIM","E5",25.63,25.63,"100",0,0
"78","LM0257","CEN","E5",19.57,19.57,"100",0,0
"79","LM0258","BMV","E5",17.53,17.53,"100",0.5,0
"80","LM0259","EGM","E5",24.62,24.62,"100",1.73,0
