"","EH_ID","labels","dpi","experiment","OPG","relative_weight","mouse_strain","primary_infection","challenge_infection","infection_history","batch","delta","IFNy_CEWE","Eim_MC","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8"
"1","LM0179","ACD",0,"E7a",0,100,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LM0179","BEJ",7,"E7a",104729.72972973,97.2530375066033,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LM0179","BLZ",10,"E7a",82236.8421052632,96.4078182778658,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LM0179","CXY",11,"E7a",5747.12643678161,99.7358689910195,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LM0179","ELN",4,"E7a",0,102.746962493397,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LM0179","GTY",9,"E7a",906862.745098039,93.0797675647121,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LM0179","HKT",3,"E7a",NA,100.528262017961,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LM0179","HUY",2,"E7a",NA,102.694136291601,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","LM0179","MQS",1,"E7a",NA,104.543053354464,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","LM0179","OQZ",8,"E7a",1119565.2173913,94.4004226096144,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
