Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0270,28.74,-,CXCR3
A2,LM_0270,28.76,-,CXCR3
B1,LM_0279,27.77,-,CXCR3
B2,LM_0279,28.33,-,CXCR3
C1,LM_0240,26.57,-,CXCR3
C2,LM_0240,26.61,-,CXCR3
D1,LM_0284,25.73,-,CXCR3
D2,LM_0284,26.72,-,CXCR3
E1,LM_0233,35.51,-,CXCR3
E2,LM_0233,24.68,-,CXCR3
F1,LM_0258,26.21,-,CXCR3
F2,LM_0258,26.57,-,CXCR3
G1,LM_0256,27.97,-,CXCR3
G2,LM_0256,28.03,-,CXCR3
H1,LM_0227,30.79,-,CXCR3
H2,LM_0227,31.93,-,CXCR3
A3,LM_0270,23.19,-,IRG6
A4,LM_0270,23.31,-,IRG6
B3,LM_0279,,-,IRG6
B4,LM_0279,27.62,-,IRG6
C3,LM_0240,20.54,-,IRG6
C4,LM_0240,20.61,-,IRG6
D3,LM_0284,20.53,-,IRG6
D4,LM_0284,20.07,-,IRG6
E3,LM_0233,,-,IRG6
E4,LM_0233,,-,IRG6
F3,LM_0258,20.39,-,IRG6
F4,LM_0258,20.37,-,IRG6
G3,LM_0256,21.93,-,IRG6
G4,LM_0256,21.31,-,IRG6
H3,LM_0227,25.28,-,IRG6
H4,LM_0227,25.22,-,IRG6
A5,LM_0270,25.69,-,IL-12
A6,LM_0270,25.92,-,IL-12
B5,LM_0279,24.18,-,IL-12
B6,LM_0279,24.27,-,IL-12
C5,LM_0240,23.74,-,IL-12
C6,LM_0240,23.82,-,IL-12
D5,LM_0284,21.94,-,IL-12
D6,LM_0284,22.26,-,IL-12
E5,LM_0233,25.06,-,IL-12
E6,LM_0233,25.03,-,IL-12
F5,LM_0258,23.77,-,IL-12
F6,LM_0258,24.13,-,IL-12
G5,LM_0256,23.61,-,IL-12
G6,LM_0256,23.48,-,IL-12
H5,LM_0227,29.91,-,IL-12
H6,LM_0227,30,-,IL-12
A7,LM_0270,17.78,-,GAPDH
A8,LM_0270,17.79,-,GAPDH
B7,LM_0279,15.06,-,GAPDH
B8,LM_0279,16.03,-,GAPDH
C7,LM_0240,16.91,-,GAPDH
C8,LM_0240,16.99,-,GAPDH
D7,LM_0284,16.7,-,GAPDH
D8,LM_0284,16.92,-,GAPDH
E7,LM_0233,17.31,-,GAPDH
E8,LM_0233,17.25,-,GAPDH
F7,LM_0258,16.57,-,GAPDH
F8,LM_0258,16.52,-,GAPDH
G7,LM_0256,18,-,GAPDH
G8,LM_0256,17.99,-,GAPDH
H7,LM_0227,19.73,-,GAPDH
H8,LM_0227,19.53,-,GAPDH
A9,LM_0270,17.81,-,B-actin
A10,LM_0270,17.8,-,B-actin
B9,LM_0279,15.53,-,B-actin
B10,LM_0279,15.67,-,B-actin
C9,LM_0240,19.14,-,B-actin
C10,LM_0240,19.44,-,B-actin
D9,LM_0284,19.26,-,B-actin
D10,LM_0284,18.95,-,B-actin
E9,LM_0233,20.51,-,B-actin
E10,LM_0233,20.62,-,B-actin
F9,LM_0258,19.64,-,B-actin
F10,LM_0258,19.65,-,B-actin
G9,LM_0256,21.03,-,B-actin
G10,LM_0256,20.91,-,B-actin
H9,LM_0227,,-,B-actin
H10,LM_0227,22.02,-,B-actin
