"EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"LM0400","E11aCHT","E11",17.66,17.96,"98.3296213808463",0.89,4,"primary"
"LM0401","E11aPRV","E11",20.18,20.22,"99.8021760633037",1.08,3,"primary"
"LM0403","E11aCET","E11",14.57,15.12,"96.3624338624339",1.45,4,"primary"
"LM0404","E11aDEN","E11",15.45,16.48,"93.75",1.22,4,"primary"
"LM0405","E11aIWX","E11",14.1,14.67,"96.1145194274029",1.12,4,"primary"
"LM0406","E11aPQY","E11",17.95,18.5,"97.027027027027",1.07,5,"primary"
"LM0406","E11aPWX","E11",17.85,18.5,"96.4864864864865",1,3,"primary"
"LM0407","E11aJPV","E11",22.8,23.58,"96.6921119592876",1.09,4,"primary"
"LM0407","E11aEOS","E11",22.78,23.58,"96.607294317218",1.54,5,"primary"
"LM0407","E11aACS","E11",22.16,23.58,"93.9779474130619",0.87,3,"primary"
"LM0408","E11aFOT","E11",13.45,15.42,"87.2243839169909",1.4,4,"primary"
"LM0410","E11aBLS","E11",16.54,16.98,"97.4087161366313",0.98,4,"primary"
"LM0411","E11aJWZ","E11",13.68,15.9,"86.0377358490566",1.41,4,"primary"
"LM0413","E11aDHJ","E11",21.24,21.88,"97.0749542961609",1.51,4,"primary"
"LM0414","E11aQSY","E11",17.01,17.97,"94.6577629382304",2.18,4,"primary"
"LM0415","E11aBPX","E11",21.04,20.99,"100.238208670796",1.43,4,"primary"
"LM0415","E11aDGN","E11",20.5,20.99,"97.665555026203",1.09,3,"primary"
"LM0417","E11aCDZ","E11",23.3,23.38,"99.6578272027374",1.17,4,"primary"
"LM0418","E11aDJQ","E11",19.59,20.59,"95.1432734337057",1.25,4,"primary"
"LM0418","E11aKPW","E11",15.49,20.59,"75.230694511899",0.34,8,"primary"
"LM0419","E11aNQZ","E11",21.29,21.31,"99.9061473486626",1.1,4,"primary"
"LM0420","E11aBMP","E11",17.7,18.05,"98.0609418282548",1.13,4,"primary"
"LM0422","E11aKSU","E11",13.27,14.43,"91.961191961192",1.11,4,"primary"
"LM0423","E11aDIN","E11",14.48,14.77,"98.0365605958023",1.07,4,"primary"
"LM0424","E11aEOW","E11",14.43,16.11,"89.5716945996276",1.21,4,"primary"
"LM0424","E11aBMW","E11",16.15,16.11,"100.248292985723",0.93,2,"primary"
"LM0425","E11aDHQ","E11",15.4,16.13,"95.4742715437074",1.76,4,"primary"
"LM0425","E11aGHV","E11",15.87,16.13,"98.3880967141971",0.88,3,"primary"
"LM0427","E11aFWY","E11",14.21,14.5,"98",1.41,4,"primary"
"LM0428","E11aAMS","E11",21.68,21.42,"101.213818860878",0.96,4,"primary"
"LM0429","E11aBQZ","E11",16.59,17.18,"96.5657741559953",0.59,4,"primary"
"LM0430","E11aDFY","E11",25.74,26.25,"98.0571428571428",1.83,4,"primary"
"LM0430","E11aCSX","E11",25.56,26.25,"97.3714285714286",1.36,3,"primary"
"LM0431","E11aFRU","E11",17.45,18.85,"92.5729442970822",0.95,4,"primary"
"LM0421","E11bGOP","E11",15.14,18.75,"80.7466666666667",NA,6,"challenge"
"LM0429","E11bHJY","E11",14.01,17.41,"80.4709936817921",NA,6,"challenge"
