Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0344,,,,-,CXCR3
A2,LM_0344,,,,-,CXCR3
B1,LM_0344,25.98,,,-,CXCR3
B2,LM_0344,,,,-,CXCR3
C1,LM_0345,24.84,25.66,1.17,-,CXCR3
C2,LM_0345,26.49,25.66,1.17,-,CXCR3
D1,LM_0345,24.14,22.73,1.99,-,CXCR3
D2,LM_0345,21.32,22.73,1.99,-,CXCR3
E1,LM_0346,23.92,24.12,0.27,-,CXCR3
E2,LM_0346,24.31,24.12,0.27,-,CXCR3
F1,LM_0346,24.79,24.63,0.23,-,CXCR3
F2,LM_0346,24.46,24.63,0.23,-,CXCR3
G1,LM_0347,24.12,24.46,0.49,-,CXCR3
G2,LM_0347,24.81,24.46,0.49,-,CXCR3
H1,LM_0347,24.88,25.72,1.19,-,CXCR3
H2,LM_0347,26.57,25.72,1.19,-,CXCR3
A3,LM_0344,,,,-,IRG6
A4,LM_0344,,,,-,IRG6
B3,LM_0344,17.05,,,-,IRG6
B4,LM_0344,,,,-,IRG6
C3,LM_0345,24.09,28.06,5.61,-,IRG6
C4,LM_0345,32.02,28.06,5.61,-,IRG6
D3,LM_0345,18.79,20.66,2.65,-,IRG6
D4,LM_0345,22.54,20.66,2.65,-,IRG6
E3,LM_0346,21.79,21.93,0.2,-,IRG6
E4,LM_0346,22.08,21.93,0.2,-,IRG6
F3,LM_0346,21.73,21.83,0.14,-,IRG6
F4,LM_0346,21.93,21.83,0.14,-,IRG6
G3,LM_0347,21.93,22.63,0.99,-,IRG6
G4,LM_0347,23.34,22.63,0.99,-,IRG6
H3,LM_0347,25.83,26.85,1.44,-,IRG6
H4,LM_0347,27.87,26.85,1.44,-,IRG6
A5,LM_0344,,,,-,IL-12
A6,LM_0344,,,,-,IL-12
B5,LM_0344,36.71,,,-,IL-12
B6,LM_0344,,,,-,IL-12
C5,LM_0345,25.24,25.45,0.29,-,IL-12
C6,LM_0345,25.65,25.45,0.29,-,IL-12
D5,LM_0345,24.02,24,0.02,-,IL-12
D6,LM_0345,23.99,24,0.02,-,IL-12
E5,LM_0346,23.73,23.64,0.13,-,IL-12
E6,LM_0346,23.54,23.64,0.13,-,IL-12
F5,LM_0346,23.19,23.27,0.11,-,IL-12
F6,LM_0346,23.35,23.27,0.11,-,IL-12
G5,LM_0347,22.98,23.14,0.23,-,IL-12
G6,LM_0347,23.3,23.14,0.23,-,IL-12
H5,LM_0347,22.9,22.92,0.03,-,IL-12
H6,LM_0347,22.94,22.92,0.03,-,IL-12
A7,LM_0344,,,,-,GAPDH
A8,LM_0344,,,,-,GAPDH
B7,LM_0344,7.82,13.58,8.14,-,GAPDH
B8,LM_0344,19.33,13.58,8.14,-,GAPDH
C7,LM_0345,23.17,26.16,4.23,-,GAPDH
C8,LM_0345,29.15,26.16,4.23,-,GAPDH
D7,LM_0345,18.18,18.42,0.34,-,GAPDH
D8,LM_0345,18.66,18.42,0.34,-,GAPDH
E7,LM_0346,17.74,17.76,0.03,-,GAPDH
E8,LM_0346,17.78,17.76,0.03,-,GAPDH
F7,LM_0346,19.09,18.53,0.79,-,GAPDH
F8,LM_0346,17.97,18.53,0.79,-,GAPDH
G7,LM_0347,39.9,30.66,13.07,-,GAPDH
G8,LM_0347,21.42,30.66,13.07,-,GAPDH
H7,LM_0347,,,,-,GAPDH
H8,LM_0347,28.29,,,-,GAPDH
A9,LM_0344,,,,-,B-actin
A10,LM_0344,38.77,,,-,B-actin
B9,LM_0344,30.43,30.68,0.35,-,B-actin
B10,LM_0344,30.93,30.68,0.35,-,B-actin
C9,LM_0345,25.55,23.11,3.45,-,B-actin
C10,LM_0345,20.67,23.11,3.45,-,B-actin
D9,LM_0345,20.43,20.02,0.58,-,B-actin
D10,LM_0345,19.61,20.02,0.58,-,B-actin
E9,LM_0346,22.45,22.2,0.35,-,B-actin
E10,LM_0346,21.95,22.2,0.35,-,B-actin
F9,LM_0346,22.09,21.91,0.25,-,B-actin
F10,LM_0346,21.73,21.91,0.25,-,B-actin
G9,LM_0347,22.68,22.79,0.15,-,B-actin
G10,LM_0347,22.89,22.79,0.15,-,B-actin
H9,LM_0347,22.91,23.17,0.37,-,B-actin
H10,LM_0347,23.43,23.17,0.37,-,B-actin
