Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0344,33.63,-,CXCR3
A2,LM_0344,,-,CXCR3
B1,LM_0344,24.37,-,CXCR3
B2,LM_0344,30,-,CXCR3
C1,LM_0345,24.78,-,CXCR3
C2,LM_0345,37,-,CXCR3
D1,LM_0345,24.28,-,CXCR3
D2,LM_0345,27.26,-,CXCR3
E1,LM_0346,24.39,-,CXCR3
E2,LM_0346,25.32,-,CXCR3
F1,LM_0346,23.99,-,CXCR3
F2,LM_0346,24.56,-,CXCR3
G1,LM_0347,23.89,-,CXCR3
G2,LM_0347,24.15,-,CXCR3
H1,LM_0347,23.91,-,CXCR3
H2,LM_0347,24.76,-,CXCR3
A3,LM_0344,,-,IRG6
A4,LM_0344,,-,IRG6
B3,LM_0344,11.97,-,IRG6
B4,LM_0344,17.49,-,IRG6
C3,LM_0345,28.64,-,IRG6
C4,LM_0345,34.24,-,IRG6
D3,LM_0345,22.44,-,IRG6
D4,LM_0345,22.27,-,IRG6
E3,LM_0346,22.07,-,IRG6
E4,LM_0346,21.96,-,IRG6
F3,LM_0346,21.83,-,IRG6
F4,LM_0346,21.91,-,IRG6
G3,LM_0347,21.66,-,IRG6
G4,LM_0347,21.72,-,IRG6
H3,LM_0347,22.1,-,IRG6
H4,LM_0347,21.96,-,IRG6
A5,LM_0344,,-,IL-12
A6,LM_0344,,-,IL-12
B5,LM_0344,,-,IL-12
B6,LM_0344,30.5,-,IL-12
C5,LM_0345,36.05,-,IL-12
C6,LM_0345,27.04,-,IL-12
D5,LM_0345,24.16,-,IL-12
D6,LM_0345,24.62,-,IL-12
E5,LM_0346,23.26,-,IL-12
E6,LM_0346,23.39,-,IL-12
F5,LM_0346,22.78,-,IL-12
F6,LM_0346,22.92,-,IL-12
G5,LM_0347,22.55,-,IL-12
G6,LM_0347,22.58,-,IL-12
H5,LM_0347,22.6,-,IL-12
H6,LM_0347,22.21,-,IL-12
A7,LM_0344,,-,GAPDH
A8,LM_0344,,-,GAPDH
B7,LM_0344,,-,GAPDH
B8,LM_0344,24.63,-,GAPDH
C7,LM_0345,29.66,-,GAPDH
C8,LM_0345,18.32,-,GAPDH
D7,LM_0345,20.1,-,GAPDH
D8,LM_0345,17.39,-,GAPDH
E7,LM_0346,18.14,-,GAPDH
E8,LM_0346,17.81,-,GAPDH
F7,LM_0346,17.63,-,GAPDH
F8,LM_0346,17.88,-,GAPDH
G7,LM_0347,17.73,-,GAPDH
G8,LM_0347,17.72,-,GAPDH
H7,LM_0347,17.59,-,GAPDH
H8,LM_0347,17.97,-,GAPDH
A9,LM_0344,20.39,-,B-actin
A10,LM_0344,21.08,-,B-actin
B9,LM_0344,20.22,-,B-actin
B10,LM_0344,20.57,-,B-actin
C9,LM_0345,20.4,-,B-actin
C10,LM_0345,19.57,-,B-actin
D9,LM_0345,19.5,-,B-actin
D10,LM_0345,19.69,-,B-actin
E9,LM_0346,21.99,-,B-actin
E10,LM_0346,21.83,-,B-actin
F9,LM_0346,21.58,-,B-actin
F10,LM_0346,21.75,-,B-actin
G9,LM_0347,21.31,-,B-actin
G10,LM_0347,21.46,-,B-actin
H9,LM_0347,21.54,-,B-actin
H10,LM_0347,21.28,-,B-actin
