"Pos","Name","No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR"
"A11","IRG6A",9,"",""
"B11","CXCR3",5,"",""
"C11","IL-12rb1",6,"",""
"D11","B-actin",4,"",""
"E11","GAPDH",10,"",""
"A1","LM_0344",0,"",""
"A2","LM_0344",0,"",""
"B1","LM_0344",1,84.3,""
"B2","LM_0344",0,"",""
"C1","LM_0345",1,84.5,""
"C2","LM_0345",0,"",""
"D1","LM_0345",1,84.7,""
"D2","LM_0345",1,83.4,""
"E1","LM_0346",1,84.7,""
"E2","LM_0346",1,84.3,""
"F1","LM_0346",1,85.0,""
"F2","LM_0346",1,84.7,""
"G1","LM_0347",1,85.0,""
"G2","LM_0347",0,"",""
"H1","LM_0347",0,"",""
"H2","LM_0347",0,"",""
"A3","LM_0344",0,"",""
"A4","LM_0344",0,"",""
"B3","LM_0344",0,"",""
"B4","LM_0344",0,"",""
"C3","LM_0345",1,79.3,""
"C4","LM_0345",1,79.6,""
"D3","LM_0345",1,80.5,""
"D4","LM_0345",1,80.5,""
"E3","LM_0346",2,80.8,83.1
"E4","LM_0346",1,83.3,""
"F3","LM_0346",1,83.6,""
"F4","LM_0346",0,"",""
"G3","LM_0347",0,"",""
"G4","LM_0347",0,"",""
"H3","LM_0347",0,"",""
"H4","LM_0347",0,"",""
"A5","LM_0344",0,"",""
"A6","LM_0344",0,"",""
"B5","LM_0344",0,"",""
"B6","LM_0344",1,84.2,""
"C5","LM_0345",0,"",""
"C6","LM_0345",1,84.8,""
"D5","LM_0345",1,85.9,""
"D6","LM_0345",1,85.6,""
"E5","LM_0346",1,86.4,""
"E6","LM_0346",1,86.2,""
"F5","LM_0346",1,86.6,""
"F6","LM_0346",1,86.4,""
"G5","LM_0347",0,"",""
"G6","LM_0347",1,86.7,""
"H5","LM_0347",0,"",""
"H6","LM_0347",0,"",""
"A7","LM_0344",0,"",""
"A8","LM_0344",0,"",""
"B7","LM_0344",0,"",""
"B8","LM_0344",0,"",""
"C7","LM_0345",0,"",""
"C8","LM_0345",1,80.3,""
"D7","LM_0345",1,80.0,""
"D8","LM_0345",1,80.5,""
"E7","LM_0346",1,80.5,""
"E8","LM_0346",1,80.5,""
"F7","LM_0346",1,80.9,""
"F8","LM_0346",1,80.2,""
"G7","LM_0347",1,81.2,""
"G8","LM_0347",1,81.3,""
"H7","LM_0347",1,81.3,""
"H8","LM_0347",1,80.5,""
"A9","LM_0344",1,80.2,""
"A10","LM_0344",1,79.9,""
"B9","LM_0344",1,80.2,""
"B10","LM_0344",1,79.9,""
"C9","LM_0345",1,78.9,""
"C10","LM_0345",1,79.1,""
"D9","LM_0345",1,78.9,""
"D10","LM_0345",1,78.8,""
"E9","LM_0346",1,80.0,""
"E10","LM_0346",1,79.6,""
"F9","LM_0346",1,80.0,""
"F10","LM_0346",1,79.7,""
"G9","LM_0347",1,80.1,""
"G10","LM_0347",1,79.8,""
"H9","LM_0347",1,80.3,""
"H10","LM_0347",1,80.0,""

"Main Assay","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay CXCR3","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay IRG6","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay IL-12","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay GAPDH","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay B-actin","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
