"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type"
"1","LM_0343",8,"P3bBQA",-8.44,19.2799309525011,"neg",0,"E139:UNI",93.6283185840708,NA,"UNI",0,"SWISS","CLS"
"2","LM_0336",7,"P3bBWS",-4.02,123.779469601635,"pos",395000,"E88:E64",83.7476099426386,NA,"E64",448863.636363636,"SWISS","CLS"
"3","LM_0340",8,"P3bFLD",-10.49,50.9646675101204,"pos",0,"E64:UNI",92.7238805970149,NA,"UNI",0,"SWISS","CLS"
"4","LM_0347",8,"P3bFMI",-8.73,43.5591598840579,"pos",15000,"E88:E88",87.4095513748191,NA,"E88",5660.37735849057,"SWISS","CLS"
"5","LM_0338",8,"P3bFWG",-1.65,380.523992986736,"pos",160000,"E64:E88",96.2151394422311,NA,"E88",106666.666666667,"SWISS","CLS"
"6","LM_0345",7,"P3bFYX",-4.38,176.343595005784,"pos",1755000,"UNI:E64",92.5675675675675,NA,"E64",895408.163265306,"SWISS","CLS"
"7","LM_0335",8,"P3bIIT",-5.57,23.6249410096919,"pos",0,"E88:UNI",97.0212765957447,NA,"UNI",0,"SWISS","CLS"
"8","LM_0333",7,"P3bJRF",-4.27,223.244833284625,"pos",1480000,"Eflab:E64",91,NA,"E64",743718.592964824,"SWISS","CLS"
"9","LM_0337",8,"P3bKMJ",-7.09,33.1153542171992,"neg",5000,"E88:UNI",96.2138084632517,NA,"UNI",3496.5034965035,"SWISS","CLS"
"10","LM_0341",8,"P3bNQG",-1.78,300.31142053042,"pos",20000,"E139:E88",90.3614457831325,NA,"E88",25316.4556962025,"SWISS","CLS"
"11","LM_0334",8,"P3bRLW",-4.94,47.4564142166688,"neg",0,"Eflab:UNI",95.3488372093024,NA,"UNI",0,"SWISS","CLS"
"12","LM_0332",8,"P3bTBI",-5.12,224.33938439495,"pos",0,"Eflab:E88",98.635477582846,NA,"E88",0,"SWISS","CLS"
"13","LM_0339",7,"P3bUHH",-8.94,76.1230512085418,"pos",150000,"E64:E64",86.5979381443299,NA,"E64",135135.135135135,"SWISS","CLS"
"14","LM_0346",8,"P3bVJA",-8.74,14.9964342922672,"neg",0,"UNI:UNI",92.8571428571429,NA,"UNI",0,"SWISS","CLS"
"15","LM_0344",3,"P3bXAK",-8.06,3.67231170010524,"pos",NA,"UNI:E88",NA,NA,"E88",NA,"SWISS","CLS"
"16","LM_0342",7,"P3bXFC",-6.11,26.8867342101947,"pos",45000,"E139:E64",83.6330935251799,NA,"E64",39473.6842105263,"SWISS","CLS"
