labels,experiment,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution
P3aABJ,P3,NA,NA,NA,NA,NA,NA,NA
P3aAHL,P3,NA,NA,NA,NA,NA,NA,NA
P3aANQ,P3,NA,NA,NA,NA,NA,NA,NA
P3aATV,P3,19,13,22,11,16.25,188953.488372093,1
P3aAWB,P3,NA,NA,NA,NA,NA,NA,NA
P3aAZR,P3,27,20,18,30,23.75,465686.274509804,1
P3aBBD,P3,1,1,1,1,1,74074.0740740741,1
P3aBEO,P3,NA,NA,NA,NA,NA,NA,NA
P3aBOM,P3,NA,NA,NA,NA,NA,NA,NA
P3aBSJ,P3,0,2,1,3,1.5,12048.1927710843,1
P3aBUF,P3,NA,NA,NA,NA,NA,NA,NA
P3aBVL,P3,NA,NA,NA,NA,NA,NA,NA
P3aBXM,P3,NA,NA,NA,NA,NA,NA,NA
P3aCCY,P3,0,0,0,NA,0,NA,1
P3aCES,P3,NA,NA,NA,NA,NA,NA,NA
P3aCHZ,P3,NA,NA,NA,NA,NA,NA,NA
P3aCMY,P3,NA,NA,NA,NA,NA,NA,NA
P3aCNK,P3,NA,NA,NA,NA,NA,NA,NA
P3aCNK,P3,NA,NA,NA,NA,NA,NA,NA
P3aCNS,P3,NA,NA,NA,NA,NA,NA,NA
P3aCNX,P3,NA,NA,NA,NA,NA,NA,NA
P3aCTE,P3,NA,NA,NA,NA,NA,NA,NA
P3aCWN,P3,NA,NA,NA,NA,NA,NA,NA
P3aCXA,P3,112,104,109,101,106.5,1103626.94300518,1
P3aCXB,P3,NA,NA,NA,NA,NA,NA,NA
P3aDAL,P3,0,0,0,0,0,0,1
P3aDGB,P3,NA,NA,NA,NA,NA,NA,NA
P3aDHR,P3,NA,NA,NA,NA,NA,NA,NA
P3aDJM,P3,6,5,4,3,4.5,79646.0176991151,1
P3aDNK,P3,NA,NA,NA,NA,NA,NA,NA
P3aDQQ,P3,NA,NA,NA,NA,NA,NA,NA
P3aDSK,P3,NA,NA,NA,NA,NA,NA,NA
P3aDTY,P3,0,0,0,0,0,0,1
P3aDUN,P3,62,66,84,61,68.25,364000,1
P3aDWK,P3,NA,NA,NA,NA,NA,NA,NA
P3aDWO,P3,29,24,20,18,22.75,174329.501915709,1
P3aDXD,P3,0,0,0,0,0,0,1
P3aDYV,P3,NA,NA,NA,NA,NA,NA,NA
P3aEDH,P3,NA,NA,NA,NA,NA,NA,NA
P3aEEZ,P3,30,19,31,27,26.75,275773.195876289,1
P3aENK,P3,0,0,0,0,0,0,1
P3aETL,P3,14,12,14,12,13,75581.3953488372,1
P3aEWW,P3,NA,NA,NA,NA,NA,NA,NA
P3aEXU,P3,NA,NA,NA,NA,NA,NA,NA
P3aFJS,P3,0,0,0,0,0,0,1
P3aFKH,P3,NA,NA,NA,NA,NA,NA,NA
P3aFLM,P3,12,13,20,22,16.75,119642.857142857,1
P3aFOK,P3,0,1,0,1,0.5,20408.1632653061,1
P3aFRB,P3,NA,NA,NA,NA,NA,NA,NA
P3aFRJ,P3,NA,NA,NA,NA,NA,NA,NA
P3aFUN,P3,NA,NA,NA,NA,NA,NA,NA
P3aGBL,P3,NA,NA,NA,NA,NA,NA,NA
P3aGFF,P3,NA,NA,NA,NA,NA,NA,NA
P3aGPG,P3,NA,NA,NA,NA,NA,NA,NA
P3aGTO,P3,NA,NA,NA,NA,NA,NA,NA
P3aHAT,P3,NA,NA,NA,NA,NA,NA,NA
P3aHEM,P3,NA,NA,NA,NA,NA,NA,NA
P3aHEN,P3,NA,NA,NA,NA,NA,NA,NA
P3aHHB,P3,NA,NA,NA,NA,NA,NA,NA
P3aHIX,P3,0,0,0,0,0,0,1
