"Pos","Name","No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR"
"A1","LM_0332",1,75.4,"",75.1,0.300
"A2","LM_0332",1,75.1,"",75.1,0.300
"A3","LM_0332",1,74.7,"",75.1,0.300
"A4","LM_0332",1,80.2,"",80.1,0.100
"A5","LM_0332",1,80.1,"",80.1,0.100
"A6","LM_0332",1,80.0,"",80.1,0.100
"A7","LM_0333",1,76.3,"",76.0,0.600
"A8","LM_0333",1,76.3,"",76.0,0.600
"A9","LM_0333",1,75.3,"",76.0,0.600
"A10","LM_0333",1,79.9,"",80.0,0.100
"A11","LM_0333",1,79.9,"",80.0,0.100
"A12","LM_0333",1,80.0,"",80.0,0.100
"B1","LM_0334",1,75.4,"",75.2,0.200
"B2","LM_0334",1,75.3,"",75.2,0.200
"B3","LM_0334",1,75.0,"",75.2,0.200
"B4","LM_0334",1,79.9,"",79.9,0.00
"B5","LM_0334",1,79.9,"",79.9,0.00
"B6","LM_0334",1,79.9,"",79.9,0.00
"B7","LM_0335",1,75.3,"",75.0,0.300
"B8","LM_0335",1,75.1,"",75.0,0.300
"B9","LM_0335",1,74.7,"",75.0,0.300
"B10","LM_0335",1,79.8,"",79.8,0.100
"B11","LM_0335",1,79.7,"",79.8,0.100
"B12","LM_0335",1,79.8,"",79.8,0.100
"C1","LM_0336",1,74.8,"",74.9,0.100
"C2","LM_0336",1,75.0,"",74.9,0.100
"C3","LM_0336",1,74.9,"",74.9,0.100
"C4","LM_0336",1,79.8,"",79.8,0.100
"C5","LM_0336",1,79.8,"",79.8,0.100
"C6","LM_0336",1,79.9,"",79.8,0.100
"C7","LM_0337",1,75.2,"",75.0,0.200
"C8","LM_0337",1,75.0,"",75.0,0.200
"C9","LM_0337",1,74.8,"",75.0,0.200
"C10","LM_0337",1,79.6,"",79.6,0.100
"C11","LM_0337",1,79.5,"",79.6,0.100
"C12","LM_0337",1,79.7,"",79.6,0.100
"D1","LM_0338",1,74.8,"",74.6,0.300
"D2","LM_0338",1,74.5,"",74.6,0.300
"D3","LM_0338",1,74.3,"",74.6,0.300
"D4","LM_0338",1,79.5,"",79.6,0.00
"D5","LM_0338",1,79.6,"",79.6,0.00
"D6","LM_0338",1,79.6,"",79.6,0.00
"D7","LM_0339",1,74.8,"",74.7,0.100
"D8","LM_0339",1,74.8,"",74.7,0.100
"D9","LM_0339",1,74.6,"",74.7,0.100
"D10","LM_0339",1,79.4,"",79.4,0.100
"D11","LM_0339",1,79.4,"",79.4,0.100
"D12","LM_0339",1,79.5,"",79.4,0.100
"E1","LM_0340",1,74.3,"",74.4,0.100
"E2","LM_0340",1,74.5,"",74.4,0.100
"E3","LM_0340",1,74.3,"",74.4,0.100
"E4","LM_0340",1,79.5,"",79.5,0.00
"E5","LM_0340",1,79.5,"",79.5,0.00
"E6","LM_0340",1,79.5,"",79.5,0.00
"E7","LM_0341",1,74.7,"",74.7,0.100
"E8","LM_0341",1,74.7,"",74.7,0.100
"E9","LM_0341",1,74.7,"",74.7,0.100
"E10","LM_0341",1,79.3,"",79.3,0.100
"E11","LM_0341",1,79.3,"",79.3,0.100
"E12","LM_0341",1,79.4,"",79.3,0.100
"F1","LM_0342",1,75.4,"",75.2,0.200
"F2","LM_0342",1,75.2,"",75.2,0.200
"F3","LM_0342",1,74.9,"",75.2,0.200
"F4","LM_0342",1,79.6,"",79.5,0.100
"F5","LM_0342",1,79.6,"",79.5,0.100
"F6","LM_0342",1,79.3,"",79.5,0.100
"F7","LM_0343",1,75.1,"",75.0,0.100
"F8","LM_0343",1,75.0,"",75.0,0.100
"F9","LM_0343",1,74.9,"",75.0,0.100
"F10","LM_0343",1,79.4,"",79.5,0.100
"F11","LM_0343",1,79.4,"",79.5,0.100
"F12","LM_0343",1,79.7,"",79.5,0.100
"G1","LM_0344",1,75.1,"",75.2,0.100
"G2","LM_0344",1,75.2,"",75.2,0.100
"G3","LM_0344",1,75.3,"",75.2,0.100
"G4","LM_0344",1,79.8,"",79.9,0.100
"G5","LM_0344",1,79.9,"",79.9,0.100
"G6","LM_0344",1,79.9,"",79.9,0.100
"G7","LM_0345",1,76.2,"",75.9,0.400
"G8","LM_0345",1,76.0,"",75.9,0.400
"G9","LM_0345",1,75.4,"",75.9,0.400
"G10","LM_0345",1,79.6,"",79.7,0.100
"G11","LM_0345",1,79.6,"",79.7,0.100
"G12","LM_0345",1,79.8,"",79.7,0.100
"H1","NTC",1,75.7,"",75.7,0.00
"H2","NTC",1,75.7,"",75.7,0.00
"H3","NTC",1,75.7,"",75.7,0.00
"H4","NTC",1,80.5,"",80.5,0.00
"H5","NTC",1,80.5,"",80.5,0.00
"H6","NTC",0,"","",80.5,""
"H7","water",0,"","","",""
"H8","water",0,"","","",""
"H9","water",0,"","","",""
"H10","water",0,"","","",""
"H11","water",0,"","","",""
"H12","water",0,"","","",""

"Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
