Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0334,29,29.07,0.07,-,eimeria
A2,LM_0334,29.12,29.07,0.07,-,eimeria
A3,LM_0334,29.1,29.07,0.07,-,eimeria
A4,LM_0334,24.01,24.13,0.78,-,mouse
A5,LM_0334,23.42,24.13,0.78,-,mouse
A6,LM_0334,24.97,24.13,0.78,-,mouse
A7,LM_0335,30.06,28.23,1.59,-,eimeria
A8,LM_0335,27.15,28.23,1.59,-,eimeria
A9,LM_0335,27.5,28.23,1.59,-,eimeria
A10,LM_0335,22.94,22.66,0.26,-,mouse
A11,LM_0335,22.42,22.66,0.26,-,mouse
A12,LM_0335,22.63,22.66,0.26,-,mouse
B1,LM_0336,28.03,28.15,0.24,-,eimeria
B2,LM_0336,27.98,28.15,0.24,-,eimeria
B3,LM_0336,28.43,28.15,0.24,-,eimeria
B4,LM_0336,24.68,24.13,0.49,-,mouse
B5,LM_0336,23.95,24.13,0.49,-,mouse
B6,LM_0336,23.75,24.13,0.49,-,mouse
B7,LM_0337,30.92,29.84,0.96,-,eimeria
B8,LM_0337,29.08,29.84,0.96,-,eimeria
B9,LM_0337,29.52,29.84,0.96,-,eimeria
B10,LM_0337,23.09,22.75,0.3,-,mouse
B11,LM_0337,22.5,22.75,0.3,-,mouse
B12,LM_0337,22.66,22.75,0.3,-,mouse
C1,LM_0338,22.84,22.59,0.31,-,eimeria
C2,LM_0338,22.69,22.59,0.31,-,eimeria
C3,LM_0338,22.24,22.59,0.31,-,eimeria
C4,LM_0338,22.1,20.94,1.02,-,mouse
C5,LM_0338,20.54,20.94,1.02,-,mouse
C6,LM_0338,20.17,20.94,1.02,-,mouse
C7,LM_0339,31.45,30.72,1.01,-,eimeria
C8,LM_0339,29.56,30.72,1.01,-,eimeria
C9,LM_0339,31.14,30.72,1.01,-,eimeria
C10,LM_0339,22.79,21.78,0.93,-,mouse
C11,LM_0339,20.97,21.78,0.93,-,mouse
C12,LM_0339,21.57,21.78,0.93,-,mouse
D1,LM_0340,9.34,7.65,1.46,-,eimeria
D2,LM_0340,6.86,7.65,1.46,-,eimeria
D3,LM_0340,6.75,7.65,1.46,-,eimeria
D4,LM_0340,21.25,18.36,2.52,-,mouse
D5,LM_0340,16.62,18.36,2.52,-,mouse
D6,LM_0340,17.22,18.36,2.52,-,mouse
D7,LM_0341,25.01,24.3,0.61,-,eimeria
D8,LM_0341,23.97,24.3,0.61,-,eimeria
D9,LM_0341,23.92,24.3,0.61,-,eimeria
D10,LM_0341,23.32,22.52,0.72,-,mouse
D11,LM_0341,21.94,22.52,0.72,-,mouse
D12,LM_0341,22.3,22.52,0.72,-,mouse
E1,LM_0342,30.03,29.59,0.39,-,eimeria
E2,LM_0342,29.31,29.59,0.39,-,eimeria
E3,LM_0342,29.42,29.59,0.39,-,eimeria
E4,LM_0342,23.95,23.48,0.41,-,mouse
E5,LM_0342,23.25,23.48,0.41,-,mouse
E6,LM_0342,23.23,23.48,0.41,-,mouse
E7,LM_0343,32.25,31.5,0.76,-,eimeria
E8,LM_0343,31.54,31.5,0.76,-,eimeria
E9,LM_0343,30.73,31.5,0.76,-,eimeria
E10,LM_0343,23.78,23.06,0.64,-,mouse
E11,LM_0343,22.54,23.06,0.64,-,mouse
E12,LM_0343,22.85,23.06,0.64,-,mouse
F1,LM_0344,32.88,32.84,0.37,-,eimeria
F2,LM_0344,32.44,32.84,0.37,-,eimeria
F3,LM_0344,33.19,32.84,0.37,-,eimeria
F4,LM_0344,25.29,24.78,0.45,-,mouse
F5,LM_0344,24.47,24.78,0.45,-,mouse
F6,LM_0344,24.58,24.78,0.45,-,mouse
F7,LM_0345,29.83,29.15,0.62,-,eimeria
F8,LM_0345,28.63,29.15,0.62,-,eimeria
F9,LM_0345,28.99,29.15,0.62,-,eimeria
F10,LM_0345,25.55,24.77,0.68,-,mouse
F11,LM_0345,24.28,24.77,0.68,-,mouse
F12,LM_0345,24.48,24.77,0.68,-,mouse
G1,LM_0346,32.65,32.75,0.29,-,eimeria
G2,LM_0346,32.52,32.75,0.29,-,eimeria
G3,LM_0346,33.07,32.75,0.29,-,eimeria
G4,LM_0346,24.64,24.01,0.55,-,mouse
G5,LM_0346,23.73,24.01,0.55,-,mouse
G6,LM_0346,23.65,24.01,0.55,-,mouse
G7,LM_0347,32.14,31.49,0.74,-,eimeria
G8,LM_0347,30.67,31.49,0.74,-,eimeria
G9,LM_0347,31.65,31.49,0.74,-,eimeria
G10,LM_0347,23.16,22.76,0.35,-,mouse
G11,LM_0347,22.52,22.76,0.35,-,mouse
G12,LM_0347,22.59,22.76,0.35,-,mouse
