

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_samples_Lubomir_Bednar_201023_0001.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;10/23/2020
Time;2:30:32 PM
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STDA1;STDA1;SPL1;SPL1;SPL9;SPL9;STDB1;STDB1;SPL25;SPL25;SPL33;SPL33;Well ID
;2000;2000;;;;;500;500;;;;;Conc/Dil
B;STDA2;STDA2;SPL2;SPL2;SPL10;SPL10;STDB2;STDB2;SPL26;SPL26;SPL34;SPL34;Well ID
;1000;1000;;;;;250;250;;;;;Conc/Dil
C;STDA3;STDA3;SPL3;SPL3;SPL11;SPL11;STDB3;STDB3;SPL27;SPL27;SPL35;SPL35;Well ID
;500;500;;;;;125;125;;;;;Conc/Dil
D;STDA4;STDA4;SPL4;SPL4;SPL12;SPL12;STDB4;STDB4;SPL28;SPL28;SPL36;SPL36;Well ID
;250;250;;;;;62.5;62.5;;;;;Conc/Dil
E;STDA5;STDA5;SPL5;SPL5;SPL13;SPL13;STDB5;STDB5;SPL29;SPL29;SPL37;SPL37;Well ID
;125;125;;;;;31.25;31.25;;;;;Conc/Dil
F;STDA6;STDA6;SPL6;SPL6;SPL14;SPL14;STDB6;STDB6;SPL30;SPL30;SPL38;SPL38;Well ID
;62.5;62.5;;;;;15.625;15.625;;;;;Conc/Dil
G;STDA7;STDA7;SPL7;SPL7;SPL15;SPL15;STDB7;STDB7;SPL31;SPL31;SPL39;SPL39;Well ID
;31.25;31.25;;;;;7.8125;7.8125;;;;;Conc/Dil
H;BLK;BLK;SPL8;SPL8;SPL16;SPL16;BLK;BLK;SPL32;SPL32;SPL40;SPL40;Well ID
;;;;;;;;;;;;;Conc/Dil



Actual Temperature:;22.2

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.980;2.154;1.605;1.666;1.281;1.417;0.737;0.784;1.511;1.606;1.565;1.607;IFNy1:450
B;1.512;1.437;0.753;0.818;0.816;0.869;0.465;0.468;3.658;3.732;2.327;2.224;IFNy1:450
C;0.827;0.860;0.730;0.749;0.590;0.591;0.356;0.344;3.659;3.274;3.251;3.334;IFNy1:450
D;0.506;0.463;0.373;0.369;0.839;0.812;0.258;0.268;2.580;2.598;0.395;0.297;IFNy1:450
E;0.421;0.455;0.738;0.768;0.578;0.646;0.238;0.249;3.426;3.545;3.950;3.963;IFNy1:450
F;0.308;0.290;1.429;1.454;2.452;2.323;0.247;0.221;1.293;1.355;1.971;1.986;IFNy1:450
G;0.265;0.289;1.815;1.901;0.039;0.041;0.206;0.221;1.700;1.926;0.039;0.041;IFNy1:450
H;0.214;0.209;0.039;0.038;0.038;0.038;0.186;0.208;0.039;0.042;0.040;0.042;IFNy1:450



Actual Temperature:;22.3

IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.980;2.151;1.613;1.662;1.277;1.419;0.743;0.771;1.504;1.603;1.568;1.627;IFNy2:450
B;1.511;1.426;0.755;0.819;0.813;0.868;0.467;0.469;3.674;3.737;2.331;2.214;IFNy2:450
C;0.822;0.858;0.733;0.748;0.589;0.588;0.355;0.343;3.624;3.273;3.267;3.348;IFNy2:450
D;0.504;0.462;0.373;0.369;0.842;0.818;0.256;0.268;2.588;2.594;0.397;0.301;IFNy2:450
E;0.420;0.434;0.739;0.769;0.583;0.646;0.240;0.249;3.421;3.500;3.947;3.917;IFNy2:450
F;0.308;0.290;1.425;1.456;2.450;2.309;0.249;0.222;1.298;1.356;1.964;2.002;IFNy2:450
G;0.264;0.289;1.815;1.895;0.043;0.041;0.207;0.224;1.713;1.921;0.039;0.040;IFNy2:450
H;0.214;0.208;0.039;0.038;0.040;0.039;0.187;0.209;0.038;0.041;0.039;0.044;IFNy2:450



Actual Temperature:;22.3

IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.981;2.150;1.617;1.657;1.277;1.416;0.743;0.762;1.504;1.603;1.564;1.632;IFNy3:450
B;1.508;1.416;0.757;0.818;0.809;0.868;0.469;0.470;3.665;3.679;2.315;2.205;IFNy3:450
C;0.821;0.855;0.735;0.747;0.590;0.589;0.355;0.343;3.608;3.257;3.264;3.347;IFNy3:450
D;0.504;0.466;0.373;0.369;0.845;0.820;0.256;0.268;2.580;2.582;0.399;0.303;IFNy3:450
E;0.420;0.398;0.739;0.771;0.584;0.648;0.241;0.249;3.410;3.499;3.983;3.934;IFNy3:450
F;0.309;0.292;1.429;1.453;2.435;2.301;0.251;0.223;1.296;1.357;1.976;2.020;IFNy3:450
G;0.265;0.290;1.805;1.891;0.041;0.041;0.208;0.224;1.720;1.912;0.039;0.040;IFNy3:450
H;0.214;0.209;0.040;0.037;0.041;0.039;0.188;0.210;0.038;0.041;0.039;0.044;IFNy3:450

Blank IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.776;1.950;1.401;1.462;1.076;1.213;0.533;0.580;1.307;1.402;1.361;1.403;Blank IFNy1:450
B;1.308;1.232;0.549;0.614;0.611;0.664;0.260;0.263;3.454;3.528;2.123;2.020;Blank IFNy1:450
C;0.623;0.656;0.525;0.545;0.385;0.386;0.152;0.140;3.455;3.070;3.047;3.130;Blank IFNy1:450
D;0.301;0.259;0.169;0.165;0.634;0.608;0.054;0.064;2.376;2.394;0.191;0.092;Blank IFNy1:450
E;0.216;0.251;0.533;0.563;0.373;0.442;0.034;0.045;3.222;3.341;3.746;3.759;Blank IFNy1:450
F;0.104;0.085;1.225;1.249;2.248;2.118;0.043;0.016;1.089;1.151;1.767;1.781;Blank IFNy1:450
G;0.061;0.085;1.611;1.697;-0.165;-0.164;0.002;0.017;1.496;1.722;-0.166;-0.163;Blank IFNy1:450
H;0.009;0.004;-0.165;-0.166;-0.166;-0.166;-0.018;0.004;-0.166;-0.162;-0.164;-0.162;Blank IFNy1:450

Blank IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.775;1.947;1.408;1.458;1.072;1.214;0.539;0.566;1.300;1.398;1.363;1.423;Blank IFNy2:450
B;1.306;1.221;0.550;0.614;0.609;0.663;0.262;0.264;3.469;3.532;2.126;2.009;Blank IFNy2:450
C;0.617;0.653;0.529;0.544;0.384;0.383;0.151;0.139;3.419;3.068;3.062;3.143;Blank IFNy2:450
D;0.299;0.258;0.168;0.164;0.637;0.614;0.051;0.063;2.383;2.390;0.193;0.096;Blank IFNy2:450
E;0.215;0.229;0.534;0.565;0.378;0.442;0.035;0.044;3.216;3.295;3.742;3.712;Blank IFNy2:450
F;0.104;0.086;1.220;1.251;2.245;2.104;0.044;0.017;1.093;1.152;1.759;1.797;Blank IFNy2:450
G;0.060;0.085;1.611;1.691;-0.162;-0.164;0.003;0.019;1.508;1.716;-0.165;-0.165;Blank IFNy2:450
H;0.009;0.003;-0.165;-0.167;-0.165;-0.166;-0.017;0.005;-0.167;-0.164;-0.166;-0.160;Blank IFNy2:450

Blank IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;1.776;1.945;1.411;1.452;1.071;1.210;0.537;0.556;1.298;1.398;1.359;1.427;Blank IFNy3:450
