,labels,EH_ID,dpi,infHistory,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,weight,weight_dpi0,feces_weight,relative_weight,day_change,batch,primary,challenge,Eim_MC,delta,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8,label,IFNy_MES,IFNy_CEWE,total_oocysts,OPG,experiment,dilution
71,P4aGAU,LM_0348,6,E139:E88,7,11,8,9,8.75,35.53,44.4,0.29,80.0225225225225,-4.66216216216215,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175000,603448.275862069,P4,1
73,P4aGCN,LM_0348,8,E139:E88,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
100,P4aIUD,LM_0348,5,E139:E88,3,4,4,3,3.5,37.6,44.4,0.47,84.6846846846847,-5.42792792792793,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,148936.170212766,P4,1
108,P4aJKY,LM_0348,9,E139:E88,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
127,P4aLSL,LM_0348,11,E139:E88,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
137,P4aMRT,LM_0348,7,E139:E88,17,12,11,15,13.75,33.09,44.4,0.35,74.527027027027,-5.4954954954955,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275000,785714.285714286,P4,1
138,P4aMTY,LM_0348,0,E139:E88,NA,NA,NA,NA,NA,44.4,44.4,NA,100,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
151,P4aOAW,LM_0348,3,E139:E88,1,0,1,0,0.5,43.45,44.4,2.14,97.8603603603604,2.92792792792793,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,4672.89719626168,P4,1
156,P4aOJF,LM_0348,1,E139:E88,1,0,0,1,0.5,43.31,44.4,1.44,97.5450450450451,-2.45495495495494,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,6944.44444444444,P4,1
160,P4aOWL,LM_0348,10,E139:E88,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
197,P4aTQA,LM_0348,2,E139:E88,0,0,0,0,0,42.15,44.4,1.65,94.9324324324324,-2.61261261261262,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
238,P4aZFI,LM_0348,4,E139:E88,1,0,0,0,0.25,40.01,44.4,1.17,90.1126126126126,-7.74774774774775,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4273.50427350427,P4,1
248,P4bBOI,LM_0348,1,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
252,P4bBZP,LM_0348,8,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
276,P4bGBX,LM_0348,5,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
283,P4bHGX,LM_0348,3,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
298,P4bIKC,LM_0348,6,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
322,P4bKSX,LM_0348,2,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
378,P4bSQT,LM_0348,7,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
388,P4bUMM,LM_0348,0,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
418,P4bYAP,LM_0348,4,E139:E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
23,P4aCNZ,LM_0349,5,E139:E88,12,13,9,4,9.5,43.35,50.5,1.05,85.8415841584158,-2.89108910891089,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190000,180952.380952381,P4,1
35,P4aDIW,LM_0349,10,E139:E88,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
