,EH_ID,IFNy_MES,IFNy_CEWE
1,LM_0352,1149.20811261947,624.002353525835
2,LM_0353,1195.26073492038,464.419401422951
3,LM_0354,NA,233.677732983237
4,LM_0355,2534.7836546413,253.313031335259
5,LM_0356,NA,216.910560861496
6,LM_0357,NA,162.229007206462
7,LM_0358,4338.58803284823,78.887617589193
8,LM_0359,138.632719301614,249.315737959107
9,LM_0361,NA,221.679207417537
10,LM_0363,NA,171.264386895759
11,LM_0364,908.141203370996,511.451422445625
12,LM_0365,1799.04624302489,1482.03053528622
13,LM_0367,1498.1991479834,780.021861645855
