EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0348,0,44.4,44.4,NA,100,MTY,NA
LM_0349,0,50.5,50.5,NA,100,FNW,NA
LM_0350,0,54.5,54.5,NA,100,DFW,NA
LM_0351,0,43.6,43.6,NA,100,EZC,NA
LM_0352,0,40.6,40.6,NA,100,RPB,NA
LM_0353,0,45.1,45.1,NA,100,GDW,NA
LM_0354,0,45,45,NA,100,FQG,NA
LM_0355,0,43.9,43.9,NA,100,TYQ,NA
LM_0356,0,40.7,40.7,NA,100,ODF,NA
LM_0357,0,42.8,42.8,NA,100,JDE,NA
LM_0358,0,49.5,49.5,NA,100,NRK,NA
LM_0359,0,46.7,46.7,NA,100,LSH,NA
LM_0360,0,42.1,42.1,NA,100,OBV,NA
LM_0361,0,46.1,46.1,NA,100,XJK,NA
LM_0362,0,51.1,51.1,NA,100,MOX,NA
LM_0363,0,46.7,46.7,NA,100,IUQ,NA
LM_0364,0,41.6,41.6,NA,100,EVZ,NA
LM_0365,0,59.2,59.2,NA,100,WTF,NA
LM_0366,0,48.1,48.1,NA,100,WGN,NA
LM_0367,0,49.6,49.6,NA,100,NLQ,NA
LM_0348,1,43.31,44.4,1.44,97.5450450450451,OJF,-2.45495495495494
LM_0349,1,48.05,50.5,2.79,95.1485148514852,FST,-4.85148514851485
LM_0350,1,52.5,54.5,1.75,96.3302752293578,UCA,-3.6697247706422
LM_0351,1,44.38,43.6,1.99,101.788990825688,QMT,1.78899082568809
LM_0352,1,40.05,40.6,1.63,98.6453201970443,HUH,-1.35467980295567
LM_0353,1,42.6,45.1,1.95,94.4567627494457,BPY,-5.54323725055433
LM_0354,1,43.82,45,1.04,97.3777777777778,YED,-2.62222222222222
LM_0355,1,43.34,43.9,1.57,98.7243735763098,IGA,-1.27562642369018
LM_0356,1,39.49,40.7,1.22,97.027027027027,UGP,-2.97297297297298
LM_0357,1,41.82,42.8,1.64,97.7102803738318,ETM,-2.28971962616822
LM_0358,1,47.91,49.5,0.66,96.7878787878788,XKE,-3.21212121212122
LM_0359,1,44.65,46.7,0.98,95.610278372591,MFY,-4.389721627409
LM_0360,1,42.08,42.1,1.8,99.9524940617577,QPN,-0.047505938242281
LM_0361,1,43.17,46.1,0.47,93.644251626898,QVI,-6.35574837310196
LM_0362,1,49.41,51.1,1.21,96.692759295499,VQC,-3.307240704501
LM_0363,1,45.56,46.7,1.17,97.558886509636,PQW,-2.44111349036402
LM_0364,1,40.53,41.6,1.44,97.4278846153846,FFH,-2.57211538461539
LM_0365,1,58.62,59.2,1.48,99.0202702702703,CXA,-0.979729729729741
LM_0366,1,46.28,48.1,1.05,96.2162162162162,KHJ,-3.78378378378379
LM_0367,1,47.74,49.6,1.25,96.25,YAM,-3.75
LM_0348,2,42.15,44.4,1.65,94.9324324324324,TQA,-2.61261261261262
LM_0349,2,47.76,50.5,1.86,94.5742574257426,HBW,-0.574257425742573
LM_0350,2,51.8,54.5,1.75,95.045871559633,TDW,-1.28440366972477
LM_0351,2,43.3,43.6,1.56,99.3119266055046,LNT,-2.47706422018351
LM_0352,2,39.2,40.6,1.28,96.551724137931,UDZ,-2.0935960591133
LM_0353,2,42.9,45.1,1.63,95.1219512195122,LLW,0.665188470066525
LM_0354,2,43.13,45,0.77,95.8444444444445,UGT,-1.53333333333333
LM_0355,2,43.39,43.9,0.86,98.8382687927107,CRR,0.113895216400906
LM_0356,2,39.08,40.7,1.15,96.019656019656,QKW,-1.00737100737101
LM_0357,2,41.55,42.8,1.32,97.0794392523365,QYZ,-0.630841121495322
LM_0358,2,46.28,49.5,1.06,93.4949494949495,NJI,-3.29292929292929
LM_0359,2,43.03,46.7,0.61,92.1413276231263,EJC,-3.46895074946467
LM_0360,2,41.56,42.1,1.32,98.7173396674584,ZFS,-1.23515439429929
LM_0361,2,42.3,46.1,0.54,91.7570498915401,KBV,-1.88720173535792
LM_0362,2,48.12,51.1,0.56,94.1682974559687,ZCH,-2.52446183953032
LM_0363,2,44.35,46.7,0.76,94.9678800856531,VMI,-2.59100642398288
LM_0364,2,41.59,41.6,2.19,99.9759615384616,AXB,2.54807692307693
LM_0365,2,57.6,59.2,2.64,97.2972972972973,DAP,-1.72297297297297
LM_0366,2,47.25,48.1,0.71,98.2328482328482,QBT,2.01663201663202
LM_0367,2,47.55,49.6,1.1,95.866935483871,CLB,-0.383064516129039
LM_0348,3,43.45,44.4,2.14,97.8603603603604,OAW,2.92792792792793
LM_0349,3,48.13,50.5,2.67,95.3069306930693,NGT,0.732673267326746
LM_0350,3,52.5,54.5,1.91,96.3302752293578,PPC,1.28440366972477
LM_0351,3,44.14,43.6,3.1,101.238532110092,WPM,1.92660550458717
LM_0352,3,39.15,40.6,1.39,96.4285714285714,PXS,-0.123152709359616
LM_0353,3,42.24,45.1,3.17,93.6585365853659,OBO,-1.46341463414633
LM_0354,3,42.67,45,1.43,94.8222222222222,JKC,-1.02222222222223
LM_0355,3,43.56,43.9,1.55,99.2255125284738,ERQ,0.387243735763093
LM_0356,3,40.44,40.7,1.4,99.3611793611793,SOS,3.34152334152334
LM_0357,3,41.52,42.8,1.24,97.0093457943925,AMK,-0.070093457943926
LM_0358,3,47.07,49.5,1.5,95.0909090909091,XBA,1.5959595959596
LM_0359,3,42.69,46.7,0.93,91.4132762312634,GAQ,-0.728051391862962
LM_0360,3,42.27,42.1,1.35,100.403800475059,ILN,1.68646080760095
LM_0361,3,42.09,46.1,0.92,91.3015184381779,JLK,-0.455531453362241
LM_0362,3,47.67,51.1,0.77,93.2876712328767,IAF,-0.880626223091966
LM_0363,3,44.81,46.7,1.09,95.9528907922912,SHF,0.985010706638121
LM_0364,3,41.45,41.6,1.77,99.6394230769231,GSL,-0.336538461538467
LM_0365,3,56.52,59.2,1.42,95.472972972973,CCC,-1.82432432432432
