Sample_ID,labels,DNA_Conc,Unit,A260,A280,260/280,260/230
ABD,,202,ng/µl,4.04,2.182,1.85,2.08
ABL,,203.3,ng/µl,4.065,2.234,1.82,1.29
ABU,,61.2,ng/µl,1.225,0.706,1.74,1.23
ABV,,143.5,ng/µl,2.871,1.541,1.86,2.2
ACH,,12.4,ng/µl,0.248,0.152,1.63,0.42
ACJ,,251.7,ng/µl,5.033,2.753,1.83,1.99
ACN,,236.9,ng/µl,4.738,2.566,1.85,2.21
ACP,,192.1,ng/µl,3.841,2.145,1.79,1.45
ACU,,257.1,ng/µl,5.143,2.754,1.87,2.79
ACW,,52.2,ng/µl,1.044,0.584,1.79,1.52
ACY,,280,ng/µl,5.6,3.075,1.82,2.09
ADG,,212.1,ng/µl,4.241,2.323,1.83,2.11
ADK,,75,ng/µl,1.499,0.656,2.29,-1.1
AEQ,,145.4,ng/µl,2.909,1.552,1.87,1.89
AFR,,63.4,ng/µl,1.269,0.713,1.78,1.38
AGL,,268.8,ng/µl,5.376,2.959,1.82,2
AHJ,,164.7,ng/µl,3.295,1.795,1.84,2.18
AHU,,237.3,ng/µl,4.747,2.587,1.83,1.94
AIK,,143.6,ng/µl,2.871,1.563,1.84,1.36
AIN,,189.6,ng/µl,3.792,2.06,1.84,2.16
AIZ,,20.8,ng/µl,0.416,0.23,1.81,1.45
AJO,,227.8,ng/µl,4.556,2.514,1.81,1.66
AJQ,,59.3,ng/µl,1.186,0.67,1.77,1.44
AJT,,134.1,ng/µl,2.682,1.433,1.87,2.02
AKO,,169.2,ng/µl,3.384,1.913,1.77,1.18
AKT,,123.4,ng/µl,2.469,1.505,1.64,0.97
ALU,,163.4,ng/µl,3.267,1.772,1.84,1.82
ALY,,27.6,ng/µl,0.552,0.303,1.82,0.88
AMY,,145.6,ng/µl,2.913,1.669,1.75,1.23
ANO,,166.5,ng/µl,3.33,1.83,1.82,1.8
AOP,,106.4,ng/µl,2.129,1.154,1.85,2.14
AOV,,217.6,ng/µl,4.351,2.398,1.81,1.92
AOX,,258.5,ng/µl,5.17,3.023,1.71,1.18
ARV,,196.3,ng/µl,3.926,2.129,1.84,2.25
ASD,,21,ng/µl,0.421,0.276,1.53,0.3
ATW,,210.6,ng/µl,4.213,2.373,1.78,1.54
BCE,,187.1,ng/µl,3.742,2.041,1.83,2.13
BCJ,,233.8,ng/µl,4.676,2.581,1.81,1.9
BCM,,205.1,ng/µl,4.102,2.253,1.82,2.06
BCR,,274.7,ng/µl,5.494,3.031,1.81,1.87
BCY,,50.5,ng/µl,1.01,0.525,1.92,2.74
BDL,,137.3,ng/µl,2.746,1.463,1.88,2.49
BEJ,,155.2,ng/µl,3.103,1.776,1.75,0.69
BES,,120.9,ng/µl,2.418,1.36,1.78,1.32
BFI,,91.7,ng/µl,1.833,0.977,1.88,2.69
BFO,,249.7,ng/µl,4.994,2.837,1.76,1.54
BGI,,213.9,ng/µl,4.279,2.32,1.84,2.18
BGM,,303.6,ng/µl,6.072,3.359,1.81,1.95
BGU,,280.5,ng/µl,5.609,3.094,1.81,2.06
BHN,,129.8,ng/µl,2.596,1.484,1.75,1.27
BHO,,201.6,ng/µl,4.032,2.217,1.82,1.19
BHR,,196.1,ng/µl,3.923,2.157,1.82,2.63
BIK,,60.5,ng/µl,1.21,0.657,1.84,1.99
BIL,,275.1,ng/µl,5.501,3.021,1.82,2.06
BKZ,,86.5,ng/µl,1.73,0.962,1.8,1.92
BLN,,164.2,ng/µl,3.283,1.797,1.83,2.03
BLX,,305.2,ng/µl,6.104,3.343,1.83,2.05
BMX,,134.7,ng/µl,2.694,1.518,1.77,1.45
BNR,,7.9,ng/µl,0.158,0.071,2.23,0.32
