File Name,qPCR_eimeria_lab_fecal_DB_01052022_a.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-05-01 04:42:24 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-05-01 06:00:38 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,78 minutes 14 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-05-16 02:48:15 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.2,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-05-16 02:48:37 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,E57aAGL,Eim,UNKNOWN,SYBR,None,Amp,1.45030091945336,,,22.1988447398284,0.980065506522128,21.9411776287945,0.266969932584115,TRUE,0.0455811989684096,TRUE,3,20,75.0177841186523,,,
2,A2,FALSE,E57aAGL,Eim,UNKNOWN,SYBR,None,Amp,1.43946081766734,,,21.9589001711459,0.984722148348098,21.9411776287945,0.266969932584115,TRUE,0.0455811989684096,TRUE,3,19,74.8628921508789,,,
3,A3,FALSE,E57aAGL,Eim,UNKNOWN,SYBR,None,Amp,1.45686798136427,,,21.6657879754093,0.96790499027354,21.9411776287945,0.266969932584115,TRUE,0.0455811989684096,TRUE,3,19,74.8628921508789,,,
4,A4,FALSE,E57aEHN,Eim,UNKNOWN,SYBR,None,Amp,1.44883253102616,,,29.8343446339476,0.923967814324692,29.9083675384756,0.306997638253868,TRUE,0.0455811989684096,TRUE,3,26,75.0177841186523,,,
5,A5,FALSE,E57aEHN,Eim,UNKNOWN,SYBR,None,Amp,1.45850795794691,,,29.6451490670191,0.925458795676879,29.9083675384756,0.306997638253868,TRUE,0.0455811989684096,TRUE,3,27,75.021354675293,,,
6,A6,FALSE,E57aEHN,Eim,UNKNOWN,SYBR,None,Amp,1.44656149131101,,,30.24560891446,0.869383927024049,29.9083675384756,0.306997638253868,TRUE,0.0455811989684096,TRUE,3,27,75.1762924194336,,,
7,A7,FALSE,E57INR,Eim,UNKNOWN,SYBR,None,Amp,1.40789086498703,,,30.9664209937266,0.860209195112713,30.8425332037011,0.244671257709306,TRUE,0.0455811989684096,TRUE,3,28,75.1762924194336,,,
8,A8,FALSE,E57INR,Eim,UNKNOWN,SYBR,None,Amp,1.41820874613973,,,30.5606964121197,0.882335700004387,30.8425332037011,0.244671257709306,TRUE,0.0455811989684096,TRUE,3,27,75.1762924194336,,,
