File Name,qPCR_eimeria_lab_fecal_DB_26042022_b.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-04-26 04:21:22 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-04-26 05:39:38 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,78 minutes 15 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-05-16 02:44:36 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.2,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-05-16 02:45:22 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,E57aFOQ,Eim,UNKNOWN,SYBR,None,Amp,1.47029474021723,,,24.1074548783422,0.989438611296016,22.9322931323604,1.09213159502117,TRUE,0.086404888836429,TRUE,3,20,75.0824508666992,,,
2,A2,FALSE,E57aFOQ,Eim,UNKNOWN,SYBR,None,Amp,1.46985971915363,,,22.7409414530561,0.956932958425481,22.9322931323604,1.09213159502117,TRUE,0.086404888836429,TRUE,3,18,75.0824508666992,,,
3,A3,FALSE,E57aFOQ,Eim,UNKNOWN,SYBR,None,Amp,1.45937939459227,,,21.948483065683,0.890771495173821,22.9322931323604,1.09213159502117,TRUE,0.086404888836429,TRUE,3,17,75.0824508666992,,,
4,A4,FALSE,E57aABU,Eim,UNKNOWN,SYBR,None,Amp,1.4700403236316,,,20.5587852369886,0.984260378447713,19.5534059816144,1.07313225216236,TRUE,0.086404888836429,TRUE,3,16,74.9315567016602,,,
5,A5,FALSE,E57aABU,Eim,UNKNOWN,SYBR,None,Amp,1.47778665550056,,,19.6780298682711,0.952177346188012,19.5534059816144,1.07313225216236,TRUE,0.086404888836429,TRUE,3,16,74.9418716430664,,,
6,A6,FALSE,E57aABU,Eim,UNKNOWN,SYBR,None,Amp,1.4601689963033,,,18.4234028395834,0.886946609234115,19.5534059816144,1.07313225216236,TRUE,0.086404888836429,TRUE,3,15,74.9418716430664,,,
7,A7,FALSE,E57aLYZ,Eim,UNKNOWN,SYBR,None,Amp,1.47590015327588,,,24.0196244846238,0.976157935675894,22.8020802746379,1.21391263330004,TRUE,0.086404888836429,TRUE,3,21,74.9418716430664,,,
8,A8,FALSE,E57aLYZ,Eim,UNKNOWN,SYBR,None,Amp,1.48001771270154,,,22.7947842322049,0.973222585913807,22.8020802746379,1.21391263330004,TRUE,0.086404888836429,TRUE,3,19,75.0928802490234,,,
9,A9,FALSE,E57aLYZ,Eim,UNKNOWN,SYBR,None,Amp,1.48289172035965,,,21.5918321070849,0.922269385584139,22.8020802746379,1.21391263330004,TRUE,0.086404888836429,TRUE,3,18,75.1105194091797,,,
10,A10,FALSE,E57aIJT,Eim,UNKNOWN,SYBR,None,Amp,1.45700885005013,,,23.5280004642908,0.932775009880071,22.6955333586421,0.804697003117406,TRUE,0.086404888836429,TRUE,3,20,75.1105194091797,,,
11,A11,FALSE,E57aIJT,Eim,UNKNOWN,SYBR,None,Amp,1.45012657971909,,,22.6367717002871,0.872598085603168,22.6955333586421,0.804697003117406,TRUE,0.086404888836429,TRUE,3,19,75.1105194091797,,,
12,A12,FALSE,E57aIJT,Eim,UNKNOWN,SYBR,None,Amp,1.44065422103243,,,21.9218279113483,0.794193295570334,22.6955333586421,0.804697003117406,TRUE,0.086404888836429,TRUE,3,19,75.1105194091797,,,
13,B1,FALSE,E57aGIR,Eim,UNKNOWN,SYBR,None,Amp,1.45940587538559,,,16.2726710437,0.992138918214234,15.0234554338936,1.24317812102682,TRUE,0.086404888836429,TRUE,3,11,74.7806625366211,,,
14,B2,FALSE,E57aGIR,Eim,UNKNOWN,SYBR,None,Amp,1.46379708446474,,,15.0112911861953,0.980367929828358,15.0234554338936,1.24317812102682,TRUE,0.086404888836429,TRUE,3,10,74.7806625366211,,,
15,B3,FALSE,E57aGIR,Eim,UNKNOWN,SYBR,None,Amp,1.46931065207536,,,13.7864040717855,0.895415347461601,15.0234554338936,1.24317812102682,TRUE,0.086404888836429,TRUE,3,10,74.7806625366211,,,
16,B4,FALSE,E57aAOV,Eim,UNKNOWN,SYBR,None,Amp,1.47658976413446,,,24.5863522434517,0.986747018434067,23.595993059081,1.00297210239153,TRUE,0.086404888836429,TRUE,3,20,75.0824508666992,,,
17,B5,FALSE,E57aAOV,Eim,UNKNOWN,SYBR,None,Amp,1.48952606588718,,,23.6207601493785,0.954926132427473,23.595993059081,1.00297210239153,TRUE,0.086404888836429,TRUE,3,19,75.0928802490234,,,
18,B6,FALSE,E57aAOV,Eim,UNKNOWN,SYBR,None,Amp,1.46417391361146,,,22.5808667844126,0.900401271016972,23.595993059081,1.00297210239153,TRUE,0.086404888836429,TRUE,3,19,75.0928802490234,,,
19,B7,FALSE,E57aTWY,Eim,UNKNOWN,SYBR,None,Amp,1.47442135240049,,,18.1464191642265,0.977992655603336,16.79364337527,1.28934503582441,TRUE,0.086404888836429,TRUE,3,15,74.9418716430664,,,
20,B8,FALSE,E57aTWY,Eim,UNKNOWN,SYBR,None,Amp,1.47998853498626,,,16.6556873427899,0.945581158332113,16.79364337527,1.28934503582441,TRUE,0.086404888836429,TRUE,3,13,74.9418716430664,,,
21,B9,FALSE,E57aTWY,Eim,UNKNOWN,SYBR,None,Amp,1.45467043700713,,,15.5788236187936,0.851168822227596,16.79364337527,1.28934503582441,TRUE,0.086404888836429,TRUE,3,12,74.9593505859375,,,
22,B10,FALSE,E57aIKS,Eim,UNKNOWN,SYBR,None,Amp,1.47229937936584,,,18.2415952119259,0.989823939666899,17.2617650927908,0.991457874246922,TRUE,0.086404888836429,TRUE,3,14,74.9593505859375,,,
