"","EH_ID","dpi","labels","infection_history","primary","challenge","strain","sex","dpi.diss"
"1","LM_0368",1,"E10bSLC","E64:E64",NA,"E64","SCHUNT",NA,8
"2","LM_0369",1,"E10bSZL","E64:E64",NA,"E64","SCHUNT",NA,8
"3","LM_0370",1,"E10bXTF","E64:E64",NA,"E64","PWD",NA,8
"4","LM_0372",1,"E10bUZM","E64:E88",NA,"E88","SCHUNT",NA,8
"5","LM_0373",1,"E10bSTP","E64:E88",NA,"E88","SCHUNT",NA,8
"6","LM_0375",1,"E10bVMB","E64:E88",NA,"E88","PWD",NA,8
"7","LM_0376",1,"E10bNED","E64:UNI",NA,"UNI","SCHUNT",NA,8
"8","LM_0377",1,"E10bWDE","E64:UNI",NA,"UNI","SCHUNT",NA,8
"9","LM_0379",1,"E10bDWZ","E64:UNI",NA,"UNI","PWD",NA,8
"10","LM_0380",1,"E10bFPM","E88:E88",NA,"E88","SCHUNT",NA,8
"11","LM_0385",1,"E10bBJK","E88:E64",NA,"E64","SCHUNT",NA,8
"12","LM_0389",1,"E10bWMA","E88:UNI",NA,"UNI","SCHUNT",NA,8
"13","LM_0392",1,"E10bQUW","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"14","LM_0393",1,"E10bXHF","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"15","LM_0394",1,"E10bCWZ","UNI:UNI",NA,"UNI","PWD",NA,8
"16","LM_0395",1,"E10bZYB","UNI:UNI",NA,"UNI","PWD",NA,8
"17","LM_0396",1,"E10bVXC","UNI:E64",NA,"E64","SCHUNT",NA,8
"18","LM_0397",1,"E10bTHK","UNI:E64",NA,"E64","PWD",NA,8
"19","LM_0398",1,"E10bESZ","UNI:E88",NA,"E88","SCHUNT",NA,8
"20","LM_0399",1,"E10bGTL","UNI:E88",NA,"E88","PWD",NA,8
"21","LM_0368",2,"E10bKVT","E64:E64",NA,"E64","SCHUNT",NA,8
"22","LM_0369",2,"E10bQJO","E64:E64",NA,"E64","SCHUNT",NA,8
"23","LM_0370",2,"E10bNJY","E64:E64",NA,"E64","PWD",NA,8
"24","LM_0372",2,"E10bZIH","E64:E88",NA,"E88","SCHUNT",NA,8
"25","LM_0373",2,"E10bCZQ","E64:E88",NA,"E88","SCHUNT",NA,8
"26","LM_0375",2,"E10bMFI","E64:E88",NA,"E88","PWD",NA,8
"27","LM_0376",2,"E10bERA","E64:UNI",NA,"UNI","SCHUNT",NA,8
"28","LM_0377",2,"E10bDBR","E64:UNI",NA,"UNI","SCHUNT",NA,8
"29","LM_0379",2,"E10bKBF","E64:UNI",NA,"UNI","PWD",NA,8
"30","LM_0380",2,"E10bWPM","E88:E88",NA,"E88","SCHUNT",NA,8
"31","LM_0385",2,"E10bOPZ","E88:E64",NA,"E64","SCHUNT",NA,8
"32","LM_0389",2,"E10bSZV","E88:UNI",NA,"UNI","SCHUNT",NA,8
"33","LM_0392",2,"E10bSZX","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"34","LM_0393",2,"E10bGBB","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"35","LM_0394",2,"E10bABE","UNI:UNI",NA,"UNI","PWD",NA,8
"36","LM_0395",2,"E10bWYZ","UNI:UNI",NA,"UNI","PWD",NA,8
"37","LM_0396",2,"E10bNVX","UNI:E64",NA,"E64","SCHUNT",NA,8
"38","LM_0397",2,"E10bERX","UNI:E64",NA,"E64","PWD",NA,8
"39","LM_0398",2,"E10bLUW","UNI:E88",NA,"E88","SCHUNT",NA,8
"40","LM_0399",2,"E10bRVA","UNI:E88",NA,"E88","PWD",NA,8
"41","LM_0368",3,"E10bYQD","E64:E64",NA,"E64","SCHUNT",NA,8
"42","LM_0369",3,"E10bZXG","E64:E64",NA,"E64","SCHUNT",NA,8
"43","LM_0370",3,"E10bZAD","E64:E64",NA,"E64","PWD",NA,8
"44","LM_0372",3,"E10bDMH","E64:E88",NA,"E88","SCHUNT",NA,8
"45","LM_0373",3,"E10bIVO","E64:E88",NA,"E88","SCHUNT",NA,8
"46","LM_0375",3,"E10bKZX","E64:E88",NA,"E88","PWD",NA,8
"47","LM_0376",3,"E10bUTC","E64:UNI",NA,"UNI","SCHUNT",NA,8
"48","LM_0377",3,"E10bQPC","E64:UNI",NA,"UNI","SCHUNT",NA,8
"49","LM_0379",3,"E10bJNY","E64:UNI",NA,"UNI","PWD",NA,8
"50","LM_0380",3,"E10bKGF","E88:E88",NA,"E88","SCHUNT",NA,8
"51","LM_0385",3,"E10bMHK","E88:E64",NA,"E64","SCHUNT",NA,8
"52","LM_0389",3,"E10bFDU","E88:UNI",NA,"UNI","SCHUNT",NA,8
"53","LM_0392",3,"E10bWDE.1","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"54","LM_0393",3,"E10bOVS","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"55","LM_0394",3,"E10bJTJ","UNI:UNI",NA,"UNI","PWD",NA,8
"56","LM_0395",3,"E10bETD","UNI:UNI",NA,"UNI","PWD",NA,8
"57","LM_0396",3,"E10bYXX","UNI:E64",NA,"E64","SCHUNT",NA,8
"58","LM_0397",3,"E10bLYR","UNI:E64",NA,"E64","PWD",NA,8
"59","LM_0398",3,"E10bGMH","UNI:E88",NA,"E88","SCHUNT",NA,8
"60","LM_0399",3,"E10bQFC","UNI:E88",NA,"E88","PWD",NA,8
"61","LM_0368",4,"E10bOZK","E64:E64",NA,"E64","SCHUNT",NA,8
"62","LM_0369",4,"E10bEDH","E64:E64",NA,"E64","SCHUNT",NA,8
"63","LM_0370",4,"E10bAEM","E64:E64",NA,"E64","PWD",NA,8
"64","LM_0372",4,"E10bBKA","E64:E88",NA,"E88","SCHUNT",NA,8
"65","LM_0373",4,"E10bQUT","E64:E88",NA,"E88","SCHUNT",NA,8
"66","LM_0375",4,"E10bFHY","E64:E88",NA,"E88","PWD",NA,8
"67","LM_0376",4,"E10bQSC","E64:UNI",NA,"UNI","SCHUNT",NA,8
"68","LM_0377",4,"E10bVMF","E64:UNI",NA,"UNI","SCHUNT",NA,8
"69","LM_0379",4,"E10bQYU","E64:UNI",NA,"UNI","PWD",NA,8
"70","LM_0380",4,"E10bWFI","E88:E88",NA,"E88","SCHUNT",NA,8
"71","LM_0385",4,"E10bVSN","E88:E64",NA,"E64","SCHUNT",NA,8
"72","LM_0389",4,"E10bCTL","E88:UNI",NA,"UNI","SCHUNT",NA,8
