EH_ID,infection_history,mouse_strain,birthday,sex,primary_infection,challenge_infection,experiment
LM0400,E64:E64,SCHUNT_SCHUNT,5.11.2020,F,E64,E64,E11
LM0404,E64:E64,PWD_PWD,23.10.2020,M,E64,E64,E11
LM0410,E64:E64,PWD_PWD,14.10.2020,F,E64,E64,E11
LM0431,E64:E64,SCHUNT_SCHUNT,1.10.2020,F,E64,E64,E11
LM0408,E64:E88,PWD_PWD,11.10.2020,F,E64,E88,E11
LM0411,E64:E88,PWD_PWD,24.10.2020,M,E64,E88,E11
LM0417,E64:E88,SCHUNT_SCHUNT,1.10.2020,M,E64,E88,E11
LM0422,E64:E88,PWD_PWD,14.10.2020,F,E64,E88,E11
LM0413,E64:UNI,SCHUNT_SCHUNT,5.11.2020,F,E64,UNI,E11
LM0424,E64:UNI,PWD_PWD,14.10.2020,M,E64,UNI,E11
LM0405,E88:E64,PWD_PWD,23.10.2020,F,E88,E64,E11
LM0420,E88:E88,SCHUNT_SCHUNT,28.10.2020,F,E88,E88,E11
LM0423,E88:E64,PWD_PWD,23.10.2020,F,E88,E64,E11
LM0428,E88:E64,SCHUNT_SCHUNT,1.10.2020,M,E88,E64,E11
LM0429,E88:E64,PWD_PWD,11.10.2020,M,E88,E64,E11
LM0403,E88:E88,PWD_PWD,23.10.2020,M,E88,E88,E11
LM0414,E88:E88,PWD_PWD,14.10.2020,M,E88,E88,E11
LM0418,E88:E88,SCHUNT_SCHUNT,5.11.2020,F,E88,E88,E11
LM0419,E88:E88,SCHUNT_SCHUNT,28.10.2020,M,E88,E88,E11
LM0427,E88:UNI,PWD_PWD,23.10.2020,F,E88,UNI,E11
LM0409,E88:UNI,PWD_PWD,11.10.2020,M,E88,UNI,E11
LM0416,E88:UNI,PWD_PWD,14.10.2020,F,E88,UNI,E11
LM0426,E88:UNI,SCHUNT_SCHUNT,28.10.2020,M,E88,UNI,E11
LM0402,UNI:E64,SCHUNT_SCHUNT,1.10.2020,F,UNI,E64,E11
LM0412,UNI:E64,SCHUNT_SCHUNT,1.10.2020,M,UNI,E64,E11
LM0421,UNI:E64,PWD_PWD,23.10.2020,M,UNI,E64,E11
LM0415,UNI:E64,SCHUNT_SCHUNT,5.10.2020,M,UNI,E64,E11
LM0406,UNI:E88,SCHUNT_SCHUNT,1.10.2020,F,UNI,E88,E11
LM0407,UNI:E64,SCHUNT_SCHUNT,5.10.2020,M,UNI,E64,E11
LM0401,UNI:UNI,SCHUNT_SCHUNT,28.10.2020,F,UNI,UNI,E11
LM0425,UNI:UNI,PWD_PWD,23.10.2020,M,UNI,UNI,E11
LM0430,UNI:UNI,SCHUNT_SCHUNT,5.10.2020,M,UNI,UNI,E11
