Genome,Locality,Strain,Dam,Gen,Sir,Gen,Born,Fpar,LS,MM,FF,PIN,Sex,Gen,Wean,BW10,BW20,Clip,Departure,NOTE,60.DEN,90.DEN,140.DEN
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1599,M,G48,1M,5.54,8.69,L2,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1600,M,G48,1M,5.28,8.92,L3,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1601,M,G48,1M,4.89,7.83,L4,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1602,F,G48,1F,5.37,8.70,L5,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1603,F,G48,1F,5.09,8.54,P2,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ8870,G47,SZ8865,G47,10/1/2020,2,9,5,4,TA1604,F,G48,1F,5.07,7.18,P3,1/22/2021,,11/30/2020,12/30/2020,2/18/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/5/2020,1,3,3,0,TA1674,M,G48,1M,6.3,9.95,P2,1/22/2021,,12/4/2020,1/3/2021,2/22/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/5/2020,1,3,3,0,TA1675,M,G48,1M,5.86,8.94,P3,1/22/2021,,12/4/2020,1/3/2021,2/22/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/5/2020,1,3,3,0,TA1676,M,G48,1M,6.06,9.62,P4,1/22/2021,,12/4/2020,1/3/2021,2/22/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/28/2020,2,6,3,3,TA2182,M,G48,1M,5.82,8.81,P2,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/28/2020,2,6,3,3,TA2183,M,G48,1M,5.81,8.82,P3,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/28/2020,2,6,3,3,TA2185,F,G48,1F,5.22,8.19,L2,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
dom,Schweben 2,SCHUNT,SZ9325,G47,SZ9320,G47,10/28/2020,2,6,3,3,TA2187,F,G48,1F,5.65,8.31,L4,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
dom,Schweben 2,SCHUNT,TA523,G47,TA521,G47,11/5/2020,1,4,1,3,TA2357,F,G48,1F,6.18,10.03,L2,1/22/2021,,1/4/2021,2/3/2021,3/25/2021
dom,Schweben 2,SCHUNT,TA523,G47,TA521,G47,10/28/2020,1,4,1,3,TA2358,F,G48,1F,5.73,9.75,L3,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
dom,Schweben 2,SCHUNT,TA523,G47,TA521,G47,10/28/2020,1,4,1,3,TA2359,F,G48,1F,6.08,9.98,L4,1/22/2021,,12/27/2020,1/26/2021,3/17/2021
mus,Prague,PWD,TA405,G54,TA404,G54,10/11/2020,1,6,3,3,TA1836,M,G55,1M,3.56,5.25,P4,1/22/2021,,12/10/2020,1/9/2021,2/28/2021
mus,Prague,PWD,TA405,G54,TA404,G54,10/11/2020,1,6,3,3,TA1838,F,G55,1F,4.07,5.77,L3,1/22/2021,,12/10/2020,1/9/2021,2/28/2021
mus,Prague,PWD,SZ9260,G55,SZ9258,G55,10/14/2020,2,8,3,5,TA1890,M,G56,1M,4.54,7.59,P2,1/22/2021,,12/13/2020,1/12/2021,3/3/2021
