mouse_strain,birthday,sex
PWD,23.10.2020,F
PWD,14.10.2020,F
SCHUNT,28.10.2020,F
SCHUNT,28.10.2020,F
SCHUNT,1.10.2020,F
SCHUNT,5.10.2020,M
SCHUNT,1.10.2020,M
SCHUNT,28.10.2020,M
SCHUNT,5.11.2020,F
SCHUNT,5.11.2020,F
SCHUNT,5.11.2020,F
PWD,11.10.2020,F
PWD,14.10.2020,F
PWD,23.10.2020,M
PWD,24.10.2020,M
PWD,23.10.2020,M
PWD,23.10.2020,F
SCHUNT,1.10.2020,M
SCHUNT,5.10.2020,M
SCHUNT,5.10.2020,M
SCHUNT,1.10.2020,M
PWD,23.10.2020,M
PWD,23.10.2020,M
PWD,14.10.2020,F
PWD,23.10.2020,F
PWD,14.10.2020,M
PWD,14.10.2020,M
SCHUNT,1.10.2020,F
PWD,11.10.2020,M
PWD,11.10.2020,M
SCHUNT,28.10.2020,M
SCHUNT,1.10.2020,F
