"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","EH_id"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1040,"F","60","1F","5.76",9.03,"L3",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E88","LM0230"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1041,"F","60","1F","5.51",8.77,"L4",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E88","LM0245"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1058,"M","63","1M","5.45",8.47,"L2",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E88","LM0244"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1061,"M","63","1M","5.53",8.64,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E88","LM0255"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",913,"M","F1","1M","7.21",12.28,"P2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E88","LM0250"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",915,"F","F1","1F","7.47",12.64,"L2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E88","LM0243"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-25,4,2,"2","0","EX",901,"M","F1","1M","7.85",12.43,"P2",NA,"","BUSNA","STRA","inter subsp. hybrids",10.7142857142857,2,"E88","LM0227"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-25,4,2,"2","0","EX",902,"M","F1","1M","7.80",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.7142857142857,2,"E88","LM0232"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",939,"M","F1","1M","5.19",8.79,"L2",NA,"","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E88","LM0242"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",941,"M","F1","1M","5.39",8.68,"L4",NA,"REZERVA","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E88","LM0238"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-01,4,4,"2","2","EX",759,"F","43","1F","4.41",5.97,"L5",NA,"","PWD","PWD","parental strains",14.1428571428571,2,"E88","LM0241"
