labels,EH_ID,dpi,weight,weight_dpi0,weightloss,relative_weight,feces_weight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
BN,LM0296,0,48.2,48.2,,100,0.66,,,,,,,
JW,LM0297,0,48.2,48.2,,100,1.32,,,,,,,
JR,LM0298,0,46,46,,100,1.08,,,,,,,
JV,LM0299,0,52.8,52.8,,100,1.75,,,,,,,
PW,LM0300,0,46.6,46.6,,100,0.55,,,,,,,
JZ,LM0301,0,60.6,60.6,,100,2.18,,,,,,,
AE,LM0302,0,51.4,51.4,,100,1.05,,,,,,,
DF,LM0303,0,47.7,47.7,,100,1.08,,,,,,,
KR,LM0296,1,46.6,48.2,,96.6804979253112,1.33,,,,,,,
HQ,LM0297,1,43.6,48.2,,90.4564315352697,0.63,,,,,,,
KY,LM0298,1,46,46,,100,0.8,,,,,,,
HZ,LM0299,1,52.5,52.8,,99.4318181818182,1.31,,,,,,,
DU,LM0300,1,44.9,46.6,,96.3519313304721,0.84,,,,,,,
QZ,LM0301,1,58.9,60.6,,97.1947194719472,1.91,,,,,,,
DW,LM0302,1,49.8,51.4,,96.8871595330739,1.3,,,,,,,
OP,LM0303,1,47,47.7,,98.5324947589099,1.55,,,,,,,
UX,LM0296,2,45.6,48.2,,94.6058091286307,0.54,,,,,,,
DO,LM0297,2,43.7,48.2,,90.6639004149378,1.36,,,,,,,
CL,LM0298,2,46.2,46,,100.434782608696,2.13,,,,,,,
CZ,LM0299,2,49.7,52.8,,94.1287878787879,2.34,,,,,,,
EH,LM0300,2,43.9,46.6,,94.206008583691,0.9,,,,,,,
DY,LM0301,2,57,60.6,,94.0594059405941,0.92,,,,,,,
BZ,LM0302,2,47.6,51.4,,92.6070038910506,1.21,,,,,,,
AN,LM0303,2,NA,47.7,,#VALUE!,2.05,,,,,,,
CT,LM0296,3,45.74,48.2,,94.896265560166,1.32,,,,,,,
MW,LM0297,3,42.18,48.2,,87.5103734439834,1.43,,,,,,,
HL,LM0298,3,45.29,46,,98.4565217391304,1.98,,,,,,,
PS,LM0299,3,49.9,52.8,,94.5075757575757,1.56,,,,,,,
MZ,LM0300,3,42.92,46.6,,92.1030042918455,1.28,,,,,,,
AO,LM0301,3,56.47,60.6,,93.1848184818482,1.11,,,,,,,
FZ,LM0302,3,47.34,51.4,,92.1011673151751,0.98,,,,,,,
DJ,LM0303,3,46.36,47.7,,97.1907756813417,1.95,,,,,,,
DV,LM0296,4,45.71,48.2,,94.8340248962656,1.49,,,,,,,
GU,LM0297,4,43,48.2,,89.2116182572614,1.6,,,,,,,
CG,LM0298,4,46.04,46,,100.086956521739,1.41,,,,,,,
