EH_ID,dpi,labels,challenge
LM_0348,0,UMM,E88
LM_0349,0,UMN,E88
LM_0350,0,VMP,E64
LM_0351,0,BBH,UNI
LM_0352,0,TMO,E88
LM_0353,0,STT,E88
LM_0354,0,PSE,E64
LM_0355,0,VAG,UNI
LM_0356,0,BSE,E88
LM_0357,0,PWF,E88
LM_0358,0,XNG,E64
LM_0359,0,HXA,UNI
LM_0360,0,ICB,E88
LM_0361,0,NCD,E88
LM_0362,0,YHW,E64
LM_0363,0,YYO,UNI
LM_0364,0,NUZ,E88
LM_0365,0,DRA,E88
LM_0366,0,YYR,E64
LM_0367,0,HNX,UNI
LM_0348,1,BOI,E88
LM_0349,1,BFB,E88
LM_0350,1,GIQ,E64
LM_0351,1,OGB,UNI
LM_0352,1,MLZ,E88
LM_0353,1,CQB,E88
LM_0354,1,LKJ,E64
LM_0355,1,JRA,UNI
LM_0356,1,YMB,E88
LM_0357,1,WXZ,E88
LM_0358,1,PYV,E64
LM_0359,1,IWL,UNI
LM_0360,1,PBV,E88
LM_0361,1,SBW,E88
LM_0362,1,TTS,E64
LM_0363,1,IAN,UNI
LM_0364,1,FMM,E88
LM_0365,1,RBK,E88
LM_0366,1,WTX,E64
LM_0367,1,HOK,UNI
LM_0348,2,KSX,E88
LM_0349,2,BAX,E88
LM_0350,2,BTZ,E64
LM_0351,2,FYX,UNI
LM_0352,2,FFV,E88
LM_0353,2,CSP,E88
LM_0354,2,NUP,E64
LM_0355,2,ULK,UNI
LM_0356,2,PDV,E88
LM_0357,2,EBR,E88
LM_0358,2,JKP,E64
LM_0359,2,HYK,UNI
LM_0360,2,GYV,E88
LM_0361,2,IXP,E88
LM_0362,2,BHX,E64
LM_0363,2,QCB,UNI
LM_0364,2,GTM,E88
LM_0365,2,JOV,E88
LM_0366,2,YCB,E64
LM_0367,2,PWT,UNI
LM_0348,3,HGX,E88
LM_0349,3,XLJ,E88
LM_0350,3,YVL,E64
LM_0351,3,NLQ,UNI
LM_0352,3,IMU,E88
LM_0353,3,MLG,E88
LM_0354,3,DJM,E64
LM_0355,3,KHA,UNI
LM_0356,3,UXA,E88
LM_0357,3,LZA,E88
LM_0358,3,WXG,E64
LM_0359,3,YZQ,UNI
LM_0360,3,WUH,E88
LM_0361,3,WGQ,E88
LM_0362,3,OXC,E64
LM_0363,3,RBY,UNI
LM_0364,3,OYK,E88
LM_0365,3,MCM,E88
LM_0366,3,ZLQ,E64
LM_0367,3,JAT,UNI
LM_0348,4,YAP,E88
LM_0349,4,CCI,E88
LM_0350,4,ZPL,E64
LM_0351,4,SYC,UNI
LM_0352,4,SMO,E88
LM_0353,4,JZP,E88
LM_0354,4,GEE,E64
LM_0355,4,QNF,UNI
LM_0356,4,CES,E88
LM_0357,4,RIY,E88
LM_0358,4,JWS,E64
LM_0359,4,BUU,UNI
LM_0360,4,FPJ,E88
LM_0361,4,TXK,E88
LM_0362,4,ISV,E64
LM_0363,4,LHZ,UNI
LM_0364,4,VDY,E88
LM_0365,4,OSQ,E88
LM_0366,4,STL,E64
LM_0367,4,ICV,UNI
LM_0348,5,GBX,E88
LM_0349,5,HXN,E88
LM_0350,5,CUJ,E64
LM_0351,5,ISP,UNI
LM_0352,5,VYO,E88
LM_0353,5,LUN,E88
LM_0354,5,UMZ,E64
LM_0355,5,YFR,UNI
LM_0356,5,UNW,E88
LM_0357,5,EWJ,E88
LM_0358,5,DGJ,E64
LM_0359,5,WAH,UNI
LM_0360,5,OQR,E88
LM_0361,5,IOZ,E88
LM_0362,5,QNU,E64
LM_0363,5,IYG,UNI
LM_0364,5,EES,E88
LM_0365,5,ZCF,E88
LM_0366,5,PBN,E64
LM_0367,5,KDS,UNI
LM_0348,6,IKC,E88
LM_0349,6,FPG,E88
LM_0350,6,BAT,E64
LM_0351,6,VSE,UNI
LM_0352,6,NRH,E88
LM_0353,6,KBF,E88
LM_0354,6,SLQ,E64
LM_0355,6,KAB,UNI
LM_0356,6,SLR,E88
LM_0357,6,XFH,E88
LM_0358,6,NZN,E64
LM_0359,6,BBB,UNI
LM_0360,6,IBH,E88
LM_0361,6,OOO,E88
LM_0362,6,ZJC,E64
LM_0363,6,RAP,UNI
LM_0364,6,YPF,E88
LM_0365,6,OKV,E88
LM_0366,6,UCC,E64
LM_0367,6,WKZ,UNI
LM_0348,7,SQT,E88
LM_0349,7,URQ,E88
LM_0350,7,SJG,E64
LM_0351,7,SQN,UNI
LM_0352,7,JEY,E88
LM_0353,7,JIL,E88
LM_0354,7,LVS,E64
LM_0355,7,WWU,UNI
LM_0356,7,VUW,E88
LM_0357,7,VVV,E88
LM_0358,7,OIR,E64
LM_0359,7,IAM,UNI
LM_0360,7,DXI,E88
LM_0361,7,HHA,E88
LM_0362,7,FUA,E64
LM_0363,7,KGL,UNI
LM_0364,7,EJB,E88
LM_0365,7,YNP,E88
LM_0366,7,TEV,E64
LM_0367,7,POY,UNI
LM_0348,8,BZP,E88
LM_0349,8,HVW,E88
LM_0350,8,XUZ,E64
LM_0351,8,JQG,UNI
LM_0352,8,RXD,E88
LM_0353,8,IFU,E88
LM_0354,8,MOP,E64
LM_0355,8,KJY,UNI
LM_0356,8,QSH,E88
LM_0357,8,XUM,E88
LM_0358,8,GAB,E64
LM_0359,8,YNV,UNI
LM_0360,8,VPL,E88
LM_0361,8,RLM,E88
LM_0362,8,DAR,E64
LM_0363,8,PQS,UNI
LM_0364,8,SMQ,E88
LM_0365,8,GXY,E88
LM_0366,8,DXC,E64
LM_0367,8,XOQ,UNI
