,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir,Gen,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen,Wean,BW10,BW20,60.Day,90.Day,140.Day
1,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,3,2,SZ,9344,M,G54,1M,4.75,7.73,8/21/2020,9/20/2020,11/9/2020
2,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9821,M,G54,1M,3.53,4.23,9/7/2020,10/7/2020,11/26/2020
3,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9822,M,G54,1M,3.46,6.26,9/7/2020,10/7/2020,11/26/2020
4,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9823,M,G54,1M,3.58,4.99,9/7/2020,10/7/2020,11/26/2020
5,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9937,M,G55,1M,4.16,6.68,9/13/2020,10/13/2020,12/2/2020
6,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9938,M,G55,1M,4.48,7.44,9/13/2020,10/13/2020,12/2/2020
7,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9939,M,G55,1M,4.18,6.42,9/13/2020,10/13/2020,12/2/2020
8,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9940,M,G55,1M,4.30,6.91,9/13/2020,10/13/2020,12/2/2020
9,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,9345,F,G54,1F,4.87,7.78,8/21/2020,9/20/2020,11/9/2020
10,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9824,F,G54,1F,3.41,4.31,9/7/2020,10/7/2020,11/26/2020
11,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9825,F,G54,1F,3.23,4.79,9/7/2020,10/7/2020,11/26/2020
12,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9826,F,G54,1F,3.45,4.88,9/7/2020,10/7/2020,11/26/2020
13,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9941,F,G55,1F,4.53,6.90,9/13/2020,10/13/2020,12/2/2020
14,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9942,F,G55,1F,4.39,7.30,9/13/2020,10/13/2020,12/2/2020
15,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,9343,M,G54,1M,5.11,7.96,8/21/2020,9/20/2020,11/9/2020
16,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,BEZ ČISLA,F,G54,1F,5.17,7.80,8/21/2020,9/20/2020,11/9/2020
1,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9633,M,G47,1M,-,7.46,9/1/2020,10/1/2020,11/20/2020
