,,,,,,,,,,,,,,,,,,,,,,,
,Window wall cabinet,,,,,,,,Door wall cabinet,,,,,,,,Back of the room cage stand,,,,,,
,mouse ID + experimental variable,,,,,,,,mouse ID + experimental variable,,,,,,,,mouse ID + experimental variable,,,,,,
,,1,2,3,4,5,6,,,1,2,3,4,5,6,,,1,2,3,4,5,6
,Back row lvl 1,,,,,,,,Back row lvl 1,,,,,,,,Back row lvl 1,,,,,,
,Front row lvl 1,,,,,,,,Front row lvl 1,,,,,,,,Front row lvl 1,,,,,,
,Back row lvl 2,,,,,,,,Back row lvl 2,,,,,,,,Back row lvl 2,,,,,,
,Front row lvl 2,,,,,,,,Front row lvl 2,,,,,,,,Front row lvl 2,,,,,,
,Back row lvl 3,,,,,,,,Back row lvl 3,,,,,,,,Back row lvl 3,,,,,,
,Front row lvl 3,,,,,,,,Front row lvl 3,,,,,,,,Front row lvl 3,,,,,,
,Back row lvl 4,,,,,,,,Back row lvl 4,,,,,,,,Back row lvl 4,,,,,,
,Front row lvl 4,,,,,,,,Front row lvl 4,,,,,,,,Front row lvl 4,,,,,,
