"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_type","oocyst_mean","OPG"
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aPTU",22,20.03,109.835247129306,1.21,4,"primary",2,1,1,0,1,4,10000,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxFJW",23.8,23.86,99.7485331098072,0.76,1,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aGPR",20.99,20.03,104.792810783824,0.77,10,"primary",10,16,9,12,1,47,117500,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxELZ",22.88,23.86,95.8927074601844,2.23,4,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxLNW",22.94,23.86,96.1441743503772,0.88,6,"challenge",6,7,10,7,1,30,75000,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aFGW",20.03,20.03,100,1.68,0,"primary",18,18,20,18,1,74,185000,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aFKN",20.67,20.03,103.195207189216,1.43,7,"primary",1,2,2,1,1,6,15000,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aNXY",22.12,20.03,110.434348477284,1.13,5,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxIPS",23.8,23.86,99.7485331098072,1.5,3,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aACU",22.21,20.03,110.883674488268,0,3,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aBEH",21.52,20.03,107.438841737394,0.81,6,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aBIR",19.13,20.03,95.5067398901647,0.53,9,"primary",33,90,62,82,1,267,667500,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxAUZ",23.24,23.86,97.4015088013412,1.68,7,"challenge",21,32,19,26,1,98,245000,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxRTY",23.12,23.86,96.8985750209556,2.01,5,"challenge",26,17,23,28,1,94,235000,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxINO",23.86,23.86,100,2.11,0,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aKMO",22.47,20.03,112.181727408887,1.41,11,"primary",0,1,1,0,2,2,2500,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxALV",23.75,23.86,99.5389773679799,1.09,2,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxMNW",23.81,23.86,99.7904442581727,2.73,8,"challenge",3,5,8,1,1,17,42500,"heterologous_E64",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aILO",21.73,20.03,108.487269096355,0,2,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aKQR",20.33,20.03,101.497753369945,0.31,8,"primary",74,53,73,83,1,283,707500,"primary_E88",NA,NA
"LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aJMP",21.38,20.03,106.739890164753,0,1,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aFIY",18.54,18.56,99.8922413793103,1.02,7,"primary",1,1,0,2,1,4,10000,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aATY",18.3,18.56,98.5991379310345,0.35,8,"primary",65,91,98,59,1,313,782500,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxESW",23.47,21.23,110.551106924164,1.32,5,"challenge",55,51,48,44,1,198,495000,"heterologous_E64",NA,NA
