"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
1,32.3,0,0,0,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,37,0,0,0,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,42.6,0,0,0,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,40.8,0,0,0,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41.4,0,0,0,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.8,0,0,0,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,40.7,0,0,0,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,42.6,0,0,0,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.7,0,0,0,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,30.4,0,0,0,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,34,0,0,0,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,27.8,0,0,0,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,38.4,0,0,0,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,41.6,0,0,0,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,36.2,0,0,0,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.6,0,0,0,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,33.4,0,0,0,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,40.3,0,0,0,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,44.4,0,0,0,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,33.2,0,0,0,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,35.2,0,0,0,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.5,0,0,0,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,33.5,-3.71517027863777,2.26,1,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,36.8,0.540540540540546,1.32,1,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
